Proper Name,File Name(s),Applicant(s),BLA Number(s),Proprietary Name(s),Strength (merged),Dosage Form(s),Route of Administration,Approval Date(s)
ustekinumab-aekn,2024_april.csv | 2024_october.csv | 2025_may.csv,Alvotech USA Inc.,761343,Selarsdi,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"April 16, 2024 | February 12, 2025 | October 18, 2024"
ustekinumab-auub,2023_november.csv | 2024_december.csv | 2025_february.csv | 2025_january.csv,Amgen Inc.,761285 | 761331,Wezlana,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"10/31/2023 | 26-Dec-24 | December 26, 2024"
ustekinumab-hmny,2025_may.csv,"Bio-Thera Solutions, Ltd.",761419,Starjemza,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"May 22, 2025"
ustekinumab-kfce,2024_december.csv,Biocon Biologics Inc.,761406,Yesintek,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,For Injection | Injection,Intravenous | Subcutaneous,29-Nov-24
ustekinumab-srlf,2024_october.csv,Accord BioPharma Inc.,761364,Imuldosa,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"October 10, 2024"
ustekinumab-stba,2024_december.csv | 2025_june.csv,"CELLTRION, Inc.",761338,Steqeyma,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"17-Dec-24 | December 17, 2024 | June 12, 2025"
ustekinumab-ttwe,2024_december.csv | 2024_july.csv | 2025_july.csv,"Samsung Bioepis Co., Ltd.",761373 | 761425,Pyzchiva,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"20-Dec-24 | June 27, 2025 | June 28, 2024"
valoctocogene roxaparvovec-rvox,2023_july.csv,Biomarin Pharmaceutical Inc.,125720,Roctavian,16X 10E13GENOMES PER ML,Injection,Intravenous,6/29/2023
Varicella Virus Vaccine Live,2023_march.csv,Merck Sharp & Dohme LLC,103552,Varivax,NLT  1350PFU/.5ML,For Injection,Intramuscular,2/27/2023
vedolizumab,2023_october.csv,"Takeda Pharmaceuticals U.S.A., Inc.",761133,Entyvio | Entyvio Pen,108MG/0.68ML,Injection,Subcutaneous,9/27/2023
velmanase alfa-tycv,2023_february.csv,Chiesi Farmaceutici S.p.A.,761278,Lamzede,10MG,For Injection,Intravenous,2/16/2023
zanidatamab-hrii,2024_november.csv,Jazz Pharmaceuticals Ireland Limited,761416,Ziihera,300MG,For Injection,Intravenous,20-Nov-24
zenocutuzumab-zbco,2024_december.csv,Merus NV,761352,Bizengri,375MG/18.75ML (20MG/ML),Injection,Intravenous,4-Dec-24
zolbetuximab-clzb,2024_october.csv | 2025_june.csv,"Astellas Pharma US, Inc.",761365,Vyloy,100MG | 300MG,Injection,Intravenous,"March 24, 2025 | October 18, 2024"
"Zoster Vaccine Recombinant, Adjuvanted",2021_july.csv,GlaxoSmithKline Biologicals,125614,Shingrix,50UG,For Injection,Intramuscular,07/23/2021
