Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
FINGOLIMOD LAURYL SULFATE,TASCENSO ODT,Neurology,CHRONIC,chemical,CHEMBL5095050,"S1PR5, S1PR2, S1PR4, S1PR3, S1PR1",Sphingosine 1-phosphate receptor,Sphingosine 1-phosphate receptor binding agent,BINDING AGENT,CHEMBL2363041,1,direct
FISH OIL TRIGLYCERIDES,OMEGAVEN,Other/Unclassified,OTHER,mixture,CHEMBL4297535,,,Supplement,,,0,direct
FISH OIL; MEDIUM CHAIN TRIGLYCERIDES; OLIVE OIL; SOYBEAN OIL,SMOFLIPID 20%,Other/Unclassified,OTHER,mixture,CHEMBL3833369,,,Supplement,,,0,component
FITUSIRAN SODIUM,QFITLIA,Other/Unclassified,OTHER,nucleicAcid,CHEMBL4297754,,Antithrombin mRNA,Antithrombin mRNA RNAi inhibitor,RNAI INHIBITOR,CHEMBL4634874,1,direct
FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,Other/Unclassified,OTHER,chemical,CHEMBL1200875,"PDE4A, PDE4D, PDE4B, PDE4C | PDE7A, PDE7B | PDE8B, PDE8A",Phosphodiesterase 4 | Phosphodiesterase 7 | Phosphodiesterase 8,Phosphodiesterase 4 inhibitor; Phosphodiesterase 7 inhibitor; Phosphodiesterase 8 inhibitor,INHIBITOR,CHEMBL2093863; CHEMBL2111411; CHEMBL2363067,3,direct
FLECAINIDE ACETATE,FLECAINIDE ACETATE,Cardiovascular,CHRONIC,chemical,CHEMBL1200822,SCN5A,Sodium channel protein type 5 subunit alpha,Sodium channel protein type V alpha subunit blocker,BLOCKER,CHEMBL1980,1,direct
FLIBANSERIN,ADDYI,Other/Unclassified,OTHER,chemical,CHEMBL231068,,,Unknown,,,0,direct
FLORBETABEN F-18,NEURACEQ,Other/Unclassified,OTHER,chemical,CHEMBL566752,,,Diagnostic agent,,,0,direct
FLORBETAPIR F-18,AMYVID,Other/Unclassified,OTHER,chemical,CHEMBL1774461,,,Diagnostic agent,,,0,direct
FLORTAUCIPIR F-18,TAUVID,Other/Unclassified,OTHER,chemical,CHEMBL3545253,,,Diagnostic agent,,,0,direct
FLOTUFOLASTAT F-18 GALLIUM,POSLUMA,Other/Unclassified,OTHER,chemical,CHEMBL5314559,,,Diagnostic agent,,,0,direct
FLOXURIDINE,FLOXURIDINE,Other/Unclassified,OTHER,chemical,CHEMBL917,TYMS,Thymidylate synthase,Thymidylate synthase inhibitor,INHIBITOR,CHEMBL1952,1,direct
FLUCICLOVINE F-18,AXUMIN,Other/Unclassified,OTHER,chemical,CHEMBL254468,,,Diagnostic agent,,,0,direct
FLUCONAZOLE,DIFLUCAN | FLUCONAZOLE | FLUCONAZOLE IN SODIUM CHLORIDE 0.9% | FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,Infectious,SHORT,chemical,CHEMBL106,ERG11,Lanosterol 14-alpha demethylase,Cytochrome P450 51 inhibitor,INHIBITOR,CHEMBL1780,1,direct
FLUCYTOSINE,ANCOBON | FLUCYTOSINE,Infectious,SHORT,chemical,CHEMBL1463,TMP1,Thymidylate synthase,Thymidylate synthase inhibitor,INHIBITOR,CHEMBL4665; CHEMBL2364680,2,direct
FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,Metabolic,CHRONIC,chemical,CHEMBL1096882,"RRM1, RRM2B, RRM2 | POLA1, POLD4, POLD3, POLD1, POLD2, POLE, POLA2, PRIM1, PRIM2, POLE2, POLE3",Ribonucleoside-diphosphate reductase RR1 | DNA polymerase (alpha/delta/epsilon),Ribonucleoside-diphosphate reductase RR1 inhibitor; DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,CHEMBL2095215; CHEMBL2363042,2,direct
FLUDEOXYGLUCOSE F-18,FLUDEOXYGLUCOSE F18,Other,SHORT,chemical,CHEMBL2030434,,,Diagnostic agent,,,0,direct
FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,Autoimmune,PERIODIC,chemical,CHEMBL1201010,NR3C2,Mineralocorticoid receptor,Mineralocorticoid receptor agonist,AGONIST,CHEMBL1994,1,direct
FLUMAZENIL,FLUMAZENIL,Other,SHORT,chemical,CHEMBL407,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel allosteric antagonist,ALLOSTERIC ANTAGONIST,CHEMBL2093872,1,direct
FLUNISOLIDE,FLUNISOLIDE,Other/Unclassified,OTHER,chemical,CHEMBL1512,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUOCINOLONE ACETONIDE,DERMA-SMOOTHE/FS | DERMOTIC | FLAC | FLUOCINOLONE ACETONIDE | ILUVIEN | RETISERT | SYNALAR | YUTIQ,Dermatology,CHRONIC,chemical,CHEMBL989,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN,TRI-LUMA,Dermatology,CHRONIC,chemical,CHEMBL989 | CHEMBL38,"NR3C1 | RARG, RARB, RARA",Glucocorticoid receptor | Retinoic acid receptor,Glucocorticoid receptor agonist; Retinoic acid receptor agonist,AGONIST,CHEMBL2034; CHEMBL2363069,2,combination
FLUOCINOLONE ACETONIDE; NEOMYCIN SULFATE,NEO-SYNALAR,Dermatology,CHRONIC,mixture,CHEMBL989 | CHEMBL3989769,"NR3C1 | rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Glucocorticoid receptor | Bacterial 70S ribosome,Glucocorticoid receptor agonist; Bacterial 70S ribosome inhibitor,AGONIST | INHIBITOR,CHEMBL2034; CHEMBL2363135,2,combination
FLUOCINONIDE,FLUOCINONIDE | FLUOCINONIDE EMULSIFIED BASE | VANOS,Dermatology,CHRONIC,chemical,CHEMBL1501,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUORESCEIN SODIUM,AK-FLUOR 10% | FLUORESCEIN SODIUM | FLUORESCITE,Other/Unclassified,OTHER,chemical,CHEMBL1628233,,,Disclosing agent,,,0,direct
FLUORODOPA F-18,FLUORODOPA F18,Other/Unclassified,OTHER,chemical,CHEMBL3400972,,,Diagnostic agent,,,0,direct
FLUOROESTRADIOL F-18,CERIANNA,Metabolic,CHRONIC,chemical,CHEMBL4594261,,,Diagnostic agent,,,0,direct
FLUOROMETHOLONE,FLUOROMETHOLONE | FML | FML FORTE,Other/Unclassified,OTHER,chemical,CHEMBL1200600,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUOROMETHOLONE ACETATE,FLAREX,Other/Unclassified,OTHER,chemical,CHEMBL1201064,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUOROURACIL,CARAC | EFUDEX | FAVLYXA | FLUOROURACIL | TOLAK,Oncology,LONG-TERM,chemical,CHEMBL185,TYMS,Thymidylate synthase | DNA | RNA,Thymidylate synthase inhibitor; DNA inhibitor; RNA inhibitor,INHIBITOR,CHEMBL1952; CHEMBL2311221; CHEMBL2311222,3,direct
FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1201082,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
FLUOXETINE HYDROCHLORIDE; OLANZAPINE,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1201082 | CHEMBL715,"SLC6A4 | HTR2A | HTR2C | DRD2, DRD3, DRD4",Sodium-dependent serotonin transporter | 5-hydroxytryptamine receptor 2A | 5-hydroxytryptamine receptor 2C | D2-like dopamine receptor,Serotonin transporter inhibitor; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist; D2-like dopamine receptor antagonist,INHIBITOR | ANTAGONIST,CHEMBL228; CHEMBL224; CHEMBL225; CHEMBL2331075,4,combination
FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,Psychiatric,CHRONIC,chemical,CHEMBL1200854,DRD2,D(2) dopamine receptor,Dopamine D2 receptor antagonist,ANTAGONIST,CHEMBL217,1,direct
FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1448187,DRD2,D(2) dopamine receptor,Dopamine D2 receptor antagonist,ANTAGONIST,CHEMBL217,1,direct
FLURANDRENOLIDE,CORDRAN | FLURANDRENOLIDE,Dermatology,CHRONIC,chemical,CHEMBL1201012,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,Psychiatric,PERIODIC,chemical,CHEMBL3989724,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
FLURBIPROFEN,FLURBIPROFEN,Pain,PERIODIC,chemical,CHEMBL563,"PTGS2, PTGS1",Cyclooxygenase,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,1,direct
FLURBIPROFEN SODIUM,FLURBIPROFEN SODIUM,Pain,PERIODIC,chemical,CHEMBL3989754,"PTGS2, PTGS1",Cyclooxygenase,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,1,direct
FLURPIRIDAZ F-18,FLYRCADO,Other/Unclassified,OTHER,chemical,CHEMBL2107799,,,Diagnostic agent,,,0,direct
FLUTAMIDE,FLUTAMIDE,Oncology,LONG-TERM,chemical,CHEMBL806,AR,Androgen receptor,Androgen Receptor antagonist,ANTAGONIST,CHEMBL1871,1,direct
FLUTEMETAMOL F-18,VIZAMYL,Other/Unclassified,OTHER,chemical,CHEMBL2042122,,,Diagnostic agent,,,0,direct
FLUTICASONE FUROATE,ARNUITY ELLIPTA | FLONASE SENSIMIST ALLERGY RELIEF,Respiratory,CHRONIC,chemical,CHEMBL1676,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUTICASONE FUROATE; UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,TRELEGY ELLIPTA,Respiratory,CHRONIC,chemical,CHEMBL1676 | CHEMBL523299 | CHEMBL1084172,NR3C1 | CHRM3 | ADRB2,Glucocorticoid receptor | Muscarinic acetylcholine receptor M3 | Beta-2 adrenergic receptor,Glucocorticoid receptor agonist; Muscarinic acetylcholine receptor M3 antagonist; Beta-2 adrenergic receptor agonist,AGONIST | ANTAGONIST,CHEMBL2034; CHEMBL245; CHEMBL210,3,combination
FLUTICASONE FUROATE; VILANTEROL TRIFENATATE,BREO ELLIPTA,Respiratory,CHRONIC,chemical,CHEMBL1676 | CHEMBL1084172,NR3C1 | ADRB2,Glucocorticoid receptor | Beta-2 adrenergic receptor,Glucocorticoid receptor agonist; Beta-2 adrenergic receptor agonist,AGONIST,CHEMBL2034; CHEMBL210,2,combination
FLUTICASONE PROPIONATE,FLONASE ALLERGY RELIEF | FLOVENT DISKUS 100 | FLOVENT DISKUS 250 | FLOVENT DISKUS 50 | FLOVENT HFA | FLUTICASONE PROPIONATE | XHANCE,Respiratory,CHRONIC,chemical,CHEMBL1473,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,ADVAIR DISKUS 100/50 | ADVAIR DISKUS 250/50 | ADVAIR DISKUS 500/50 | ADVAIR HFA | AIRDUO RESPICLICK | FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE | WIXELA INHUB,Respiratory,CHRONIC,chemical,CHEMBL1473 | CHEMBL1082607,NR3C1 | ADRB2,Glucocorticoid receptor | Beta-2 adrenergic receptor,Glucocorticoid receptor agonist; Beta-2 adrenergic receptor agonist,AGONIST,CHEMBL2034; CHEMBL210,2,combination
FLUVASTATIN SODIUM,FLUVASTATIN SODIUM | LESCOL XL,Metabolic,CHRONIC,chemical,CHEMBL2218894,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMG-CoA reductase inhibitor,INHIBITOR,CHEMBL402,1,direct
FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE | LUVOX,Psychiatric,CHRONIC,chemical,CHEMBL1409,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
FOLIC ACID,FOLIC ACID | QUIOFIC,Metabolic,CHRONIC,chemical,,,,,,,0,not_found
FOMEPIZOLE,FOMEPIZOLE,Other/Unclassified,OTHER,chemical,CHEMBL1308,"ADH1A, ADH1B, ADH1C",Alcohol dehydrogenase class I,Alcohol dehydrogenase class I inhibitor,INHIBITOR,CHEMBL2363044,1,direct
FONDAPARINUX SODIUM,ARIXTRA | FONDAPARINUX SODIUM,Cardiovascular,SHORT,chemical,CHEMBL1200644,SERPINC1,Antithrombin-III,Antithrombin-III activator,ACTIVATOR,CHEMBL1950,1,direct
FORMOTEROL FUMARATE,FORMOTEROL FUMARATE | PERFOROMIST,Respiratory,CHRONIC,chemical,CHEMBL3989798,ADRB2,Beta-2 adrenergic receptor,Beta-2 adrenergic receptor agonist,AGONIST,CHEMBL210,1,direct
FORMOTEROL FUMARATE; GLYCOPYRROLATE,BEVESPI AEROSPHERE,Respiratory,CHRONIC,chemical,CHEMBL3989798 | CHEMBL1201027,ADRB2 | CHRM3 | CHRM1,Beta-2 adrenergic receptor | Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M1,Beta-2 adrenergic receptor agonist; Muscarinic acetylcholine receptor M3 antagonist; Muscarinic acetylcholine receptor M1 antagonist,AGONIST | ANTAGONIST,CHEMBL210; CHEMBL245; CHEMBL216,3,combination
FORMOTEROL FUMARATE; MOMETASONE FUROATE,DULERA,Respiratory,CHRONIC,chemical,CHEMBL3989798 | CHEMBL1161,ADRB2 | NR3C1,Beta-2 adrenergic receptor | Glucocorticoid receptor,Beta-2 adrenergic receptor agonist; Glucocorticoid receptor agonist,AGONIST,CHEMBL210; CHEMBL2034,2,combination
FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM,Infectious,CHRONIC,chemical,CHEMBL1200734,pol,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus type 1 protease inhibitor,INHIBITOR,CHEMBL243,1,direct
FOSAPREPITANT DIMEGLUMINE,EMEND | FOCINVEZ | FOSAPREPITANT DIMEGLUMINE,Other/Unclassified,OTHER,chemical,CHEMBL1201782,TACR1,Substance-P receptor,Neurokinin 1 receptor antagonist,ANTAGONIST,CHEMBL249,1,direct
FOSCARBIDOPA; FOSLEVODOPA,VYALEV,Neurology,CHRONIC,chemical,CHEMBL4802240 | CHEMBL4594379,DDC | ADRB1,Aromatic-L-amino-acid decarboxylase | Beta-1 adrenergic receptor,DOPA decarboxylase inhibitor; Beta-1 adrenergic receptor agonist,INHIBITOR | AGONIST,CHEMBL1843; CHEMBL213,2,combination
FOSCARNET SODIUM,FOSCARNET SODIUM | FOSCAVIR,Infectious,SHORT,chemical,CHEMBL754,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
FOSDENOPTERIN HYDROBROMIDE,NULIBRY,Other/Unclassified,OTHER,chemical,CHEMBL4594300,,,Unknown,,,0,direct
FOSFOMYCIN DISODIUM,CONTEPO,Infectious,SHORT,chemical,,,,,,,0,not_found
FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,Infectious,SHORT,chemical,CHEMBL1200331,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase inhibitor,INHIBITOR,CHEMBL1984,1,direct
FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,Cardiovascular,CHRONIC,chemical,CHEMBL3039596,ACE,Angiotensin-converting enzyme,Angiotensin-converting enzyme inhibitor,INHIBITOR,CHEMBL1808,1,direct
FOSINOPRIL SODIUM; HYDROCHLOROTHIAZIDE,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,Cardiovascular,CHRONIC,chemical,CHEMBL3039596 | CHEMBL435,ACE | SLC12A3,Angiotensin-converting enzyme | Solute carrier family 12 member 3,Angiotensin-converting enzyme inhibitor; Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1808; CHEMBL1876,2,combination
FOSNETUPITANT CHLORIDE HYDROCHLORIDE; PALONOSETRON HYDROCHLORIDE,AKYNZEO,GI,SHORT,chemical,CHEMBL3989919 | CHEMBL1720,TACR1 | HTR3A,Substance-P receptor | 5-hydroxytryptamine receptor 3A,Neurokinin 1 receptor antagonist; Serotonin 3a (5-HT3a) receptor antagonist,ANTAGONIST,CHEMBL249; CHEMBL1899,2,combination
FOSPHENYTOIN SODIUM,CEREBYX | FOSPHENYTOIN SODIUM,Neurology,CHRONIC,chemical,CHEMBL919,"SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",Sodium channel alpha subunit,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,1,direct
FOSTAMATINIB DISODIUM,TAVALISSE,Oncology,LONG-TERM,chemical,CHEMBL3989516,SYK,Tyrosine-protein kinase SYK,Tyrosine-protein kinase SYK inhibitor,INHIBITOR,CHEMBL2599,1,direct
FOSTEMSAVIR TROMETHAMINE,RUKOBIA,Other/Unclassified,OTHER,chemical,CHEMBL3301598,env,Envelope glycoprotein gp160,Envelope polyprotein GP160 inhibitor,INHIBITOR,CHEMBL3520,1,direct
FROVATRIPTAN SUCCINATE,FROVATRIPTAN SUCCINATE,Neurology,PERIODIC,chemical,CHEMBL2138684,HTR1B | HTR1D,5-hydroxytryptamine receptor 1B | 5-hydroxytryptamine receptor 1D,Serotonin 1b (5-HT1b) receptor agonist; Serotonin 1d (5-HT1d) receptor agonist,AGONIST,CHEMBL1898; CHEMBL1983,2,direct
FRUQUINTINIB,FRUZAQLA,Oncology,LONG-TERM,chemical,CHEMBL4303214,"FLT1, FLT4, KDR",Vascular endothelial growth factor receptor,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,CHEMBL2095227,1,direct
FULVESTRANT,FASLODEX | FULVESTRANT,Oncology,LONG-TERM,chemical,CHEMBL1358,ESR1,Estrogen receptor,Estrogen receptor alpha antagonist; Estrogen receptor degrader,ANTAGONIST | DEGRADER,CHEMBL206,1,direct
FUROSEMIDE,FUROSCIX | FUROSEMIDE | LASIX ONYU,Cardiovascular,CHRONIC,chemical,CHEMBL35,SLC12A1,Solute carrier family 12 member 1,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR,CHEMBL1874,1,direct
FUTIBATINIB,LYTGOBI,Oncology,LONG-TERM,chemical,CHEMBL3701238,"FGFR3, FGFR1, FGFR4, FGFR2",Fibroblast growth factor receptor,Fibroblast growth factor receptor inhibitor,INHIBITOR,CHEMBL2095217,1,direct
GABAPENTIN,GABAPENTIN | GRALISE | NEURONTIN | RELGAABI,Neurology,CHRONIC,chemical,CHEMBL940,"CACNA1H, CACNA2D1, CACNA1C, CACNA2D3, CACNA1S, CACNA2D2, CACNA1D, CACNA1A, CACNA1B, CACNA1G, CACNA2D4, CACNA1I, CACNA1F, CACNA1E, CACNB4, CACNB2, CACNB1, CACNB3, CACNG7, CACNG5, CACNG2, CACNG4, CACNG8, CACNG3, CACNG6, CACNG1",Voltage-gated calcium channel,Voltage-gated calcium channel modulator,MODULATOR,CHEMBL2363032,1,direct
GABAPENTIN ENACARBIL,HORIZANT,Neurology,CHRONIC,chemical,CHEMBL1628502,"CACNA1H, CACNA2D1, CACNA1C, CACNA2D3, CACNA1S, CACNA2D2, CACNA1D, CACNA1A, CACNA1B, CACNA1G, CACNA2D4, CACNA1I, CACNA1F, CACNA1E, CACNB4, CACNB2, CACNB1, CACNB3, CACNG7, CACNG5, CACNG2, CACNG4, CACNG8, CACNG3, CACNG6, CACNG1",Voltage-gated calcium channel,Voltage-gated calcium channel modulator,MODULATOR,CHEMBL2363032,1,direct
GADOBENATE DIMEGLUMINE,MULTIHANCE | MULTIHANCE MULTIPACK,Other,SHORT,chemical,CHEMBL1200571,,,Diagnostic agent,,,0,direct
GADOBUTROL,GADAVIST | GADOBUTROL,Other,SHORT,chemical,CHEMBL2218860,,,Diagnostic agent,,,0,direct
GADODIAMIDE,OMNISCAN,Other/Unclassified,OTHER,chemical,CHEMBL1200346,,,Diagnostic agent,,,0,direct
GADOPICLENOL,ELUCIREM,Other/Unclassified,OTHER,chemical,CHEMBL4297634,,,Diagnostic agent,,,0,direct
GADOTERATE MEGLUMINE,CLARISCAN | DOTAREM | GADOTERATE MEGLUMINE,Other,SHORT,chemical,CHEMBL2219415,,,Diagnostic agent,,,0,direct
GADOTERIDOL,GADOTERIDOL | PROHANCE | PROHANCE MULTIPACK,Other/Unclassified,OTHER,chemical,CHEMBL1200593,,,Diagnostic agent,,,0,direct
GADOXETATE DISODIUM,EOVIST,Other,SHORT,chemical,CHEMBL2103740,,,Unknown,,,0,direct
GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,Neurology,CHRONIC,chemical,CHEMBL1555,ACHE,Acetylcholinesterase,Acetylcholinesterase inhibitor,INHIBITOR,CHEMBL220,1,direct
GALLIUM CITRATE GA-67,GALLIUM CITRATE GA 67,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
GALLIUM DOTATATE GA-68,NETSPOT,Other/Unclassified,OTHER,chemical,CHEMBL4297340,,,Diagnostic agent; Diagnostic,,,0,direct
GALLIUM GA-68 EDOTREOTIDE,GALLIUM GA 68 EDOTREOTIDE,Other/Unclassified,OTHER,chemical,CHEMBL4297340,,,Diagnostic agent; Diagnostic,,,0,direct
GALLIUM GA-68 GOZETOTIDE,GALLIUM GA 68 GOZETOTIDE | GALLIUM GA-68 GOZETOTIDE | GOZELLIX | ILLUCCIX | LOCAMETZ,Other/Unclassified,OTHER,chemical,CHEMBL5095039,,,Diagnostic agent,,,0,direct
GANAXOLONE,ZTALMY,Other/Unclassified,OTHER,chemical,CHEMBL1568698,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
GANCICLOVIR,ZIRGAN,Infectious,SHORT,chemical,CHEMBL182,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
GANCICLOVIR SODIUM,GANCICLOVIR SODIUM,Infectious,SHORT,chemical,CHEMBL1200850,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
GANIRELIX ACETATE,FYREMADEL | GANIRELIX ACETATE,Metabolic,SHORT,chemical,CHEMBL5314377,GNRHR,Gonadotropin-releasing hormone receptor,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST,CHEMBL1855,1,direct
GATIFLOXACIN,GATIFLOXACIN | ZYMAXID,Infectious,SHORT,chemical,CHEMBL31,"gyrB, gyrA | parC, parE",DNA gyrase | Topoisomerase IV,DNA gyrase inhibitor; Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2311225; CHEMBL2363033,2,direct
GEFITINIB,GEFITINIB | IRESSA,Oncology,LONG-TERM,chemical,CHEMBL939,EGFR,Epidermal growth factor receptor,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,CHEMBL203,1,direct
GEMCITABINE HYDROCHLORIDE,AVGEMSI | GEMCITABINE HYDROCHLORIDE | INLEXZO,Infectious,CHRONIC,chemical,CHEMBL1637,"RRM1, RRM2B, RRM2 | POLA1, POLD4, POLD3, POLD1, POLD2, POLE, POLA2, PRIM1, PRIM2, POLE2, POLE3",Ribonucleoside-diphosphate reductase RR1 | DNA polymerase (alpha/delta/epsilon),Ribonucleoside-diphosphate reductase RR1 inhibitor; DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,CHEMBL2095215; CHEMBL2363042,2,direct
GEMFIBROZIL,GEMFIBROZIL | LOPID,Other/Unclassified,OTHER,chemical,CHEMBL457,PPARA,Peroxisome proliferator-activated receptor alpha,Peroxisome proliferator-activated receptor alpha agonist,AGONIST,CHEMBL239,1,direct
GENTAMICIN SULFATE,GENTAMICIN SULFATE | GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,Infectious,SHORT,mixture,CHEMBL6067484,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
GEPIRONE HYDROCHLORIDE,EXXUA,Other/Unclassified,OTHER,chemical,CHEMBL1204187,HTR1A,5-hydroxytryptamine receptor 1A,Serotonin 1a (5-HT1a) receptor agonist,AGONIST,CHEMBL214,1,direct
GEPOTIDACIN MESYLATE,BLUJEPA,Other/Unclassified,OTHER,chemical,CHEMBL3317856,"parC, parE | gyrB, gyrA",Topoisomerase IV | Bacterial DNA gyrase,Topoisomerase IV inhibitor; Bacterial DNA gyrase inhibitor,INHIBITOR,CHEMBL2363076; CHEMBL2311224,2,direct
GILTERITINIB FUMARATE,XOSPATA,Oncology,LONG-TERM,chemical,CHEMBL3301603,FLT3 | AXL,Receptor-type tyrosine-protein kinase FLT3 | Tyrosine-protein kinase receptor UFO,Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor UFO inhibitor,INHIBITOR,CHEMBL1974; CHEMBL4895,2,direct
GIVINOSTAT HYDROCHLORIDE,DUVYZAT,Other/Unclassified,OTHER,chemical,CHEMBL6068400,"HDAC1, HDAC3, HDAC6, HDAC2, HDAC5, HDAC7, HDAC8, HDAC11, HDAC4, HDAC9, HDAC10",Histone deacetylase,Histone deacetylase inhibitor,INHIBITOR,CHEMBL2093865,1,direct
