Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
GLATIRAMER ACETATE,COPAXONE | GLATIRAMER ACETATE | GLATOPA,polymer,5M691HL4BO,Neurology,CHRONIC,1,10,12,2002-02-12,177887438.63,177.89,45730,737909,168.1449,COPAXONE | COPAXONE ( | COPAXONE 2 | COPAXONE 4 | COPAXONE L
GLECAPREVIR; PIBRENTASVIR,MAVYRET,chemical,K6BUU8J72P | 2WU922TK3L,Infectious,SHORT,2,0,0,2017-08-03,1378774107.27,1378.77,108063,9060414,152.8280,MAVYRET | MAVYRET 10 | MAVYRET 50 | MAVYRET OR
GLIMEPIRIDE,GLIMEPIRIDE,chemical,6KY687524K,Metabolic,CHRONIC,0,8,28,2005-10-06,,,,,0.0320,
GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE,DUETACT | PIOGLITAZONE HYDROCHLORIDE AND GLIMEPIRIDE,chemical,6KY687524K | JQT35NPK6C,Metabolic,CHRONIC,1,1,2,2006-07-28,,,,,,
GLIPIZIDE,GLIPIZIDE | GLUCOTROL XL,chemical,X7WDT95N5C,Metabolic,CHRONIC,1,11,28,1994-04-26,47180171.19,47.18,3806709,299460099,0.2783,GLIPIZIDE
GLIPIZIDE; METFORMIN HYDROCHLORIDE,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,chemical,X7WDT95N5C | 786Z46389E,Metabolic,CHRONIC,0,4,12,2005-10-27,,,,,,
GLUCAGON,BAQSIMI | GLUCAGON | GVOKE HYPOPEN | GVOKE KIT | GVOKE PFS,protein,76LA80IG2G,Other/Unclassified,OTHER,2,4,4,2019-07-24,166022905.05,166.02,390782,629903,1036.8049,BAQSIMI | BAQSIMI 3 | BAQSIMI ON | BAQSIMI TW | GLUCAGON
GLUCAGON HYDROCHLORIDE,GLUCAGON,protein,1H87NVF4DB,Other/Unclassified,OTHER,1,0,0,2015-05-08,,,,,,
GLYBURIDE,DIABETA | GLYBURIDE | GLYBURIDE (MICRONIZED),chemical,SX6K58TVWC,Metabolic,CHRONIC,1,8,25,1984-05-01,4099530.65,4.10,321276,28376716,0.1176,GLYBURIDE
GLYBURIDE; METFORMIN HYDROCHLORIDE,GLYBURIDE AND METFORMIN HYDROCHLORIDE,chemical,SX6K58TVWC | 786Z46389E,Metabolic,CHRONIC,0,5,15,2004-02-18,,,,,,
GLYCEROL PHENYLBUTYRATE,GLYCEROL PHENYLBUTYRATE | RAVICTI,chemical,ZH6F1VCV7B,Other/Unclassified,OTHER,1,6,6,2013-02-01,454626190.13,454.63,8018,2130477,,RAVICTI | RAVICTI 1.
GLYCINE,AMINOACETIC ACID 1.5% IN PLASTIC CONTAINER | GLYCINE 1.5% IN PLASTIC CONTAINER,chemical,TE7660XO1C,Other/Unclassified,OTHER,3,0,0,,,,,,,GLYCINE | GLYCINE 1.
GLYCOPYRROLATE,CUVPOSA | GLYCOPYRROLATE | GLYRX-PF | ROBINUL | ROBINUL FORTE,chemical,V92SO9WP2I,Respiratory,CHRONIC,5,42,54,1986-07-23,6756398.48,6.76,18659,6598578,0.6167,CUVPOSA | CUVPOSA 1 | CUVPOSA OR | GLYRX-PF | GLYRX-PF (
GLYCOPYRROLATE; NEOSTIGMINE METHYLSULFATE,PREVDUO,chemical,V92SO9WP2I | 98IMH7M386,Respiratory,CHRONIC,1,0,0,2023-02-23,,,,,,
GLYCOPYRRONIUM TOSYLATE,QBREXZA,chemical,1PVF6JLU7B,Respiratory,CHRONIC,1,0,0,2018-06-28,10699154.74,10.70,16706,513950,,QBREXZA | QBREXZA 2.
GOLODIRSEN,VYONDYS 53,nucleicAcid,033072U4MZ,Other/Unclassified,OTHER,1,0,0,2019-12-12,82396022.37,82.40,1865,112078,,VYONDYS 53
GOSERELIN ACETATE,ZOLADEX,chemical,6YUU2PV0U8,Oncology,LONG-TERM,2,0,0,1989-12-29,,,22,22,,ZOLADEX | ZOLADEX 10 | ZOLADEX 3. | ZOLADEX SA
GRAMICIDIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN,mixture,5IE62321P4 | 057Y626693 | 19371312D4,Infectious,SHORT,0,2,2,1996-01-31,,,,,,
GRANISETRON,SANCUSO | SUSTOL,chemical,WZG3J2MCOL,GI,SHORT,2,0,0,2008-09-12,9800161.99,9.80,7867,12454,318.0606,SANCUSO | SANCUSO  G | SANCUSO (G | SANCUSO 3. | SUSTOL
GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE | GRANISETRON HYDROCHLORIDE PRESERVATIVE FREE,chemical,318F6L70J8,GI,SHORT,0,25,32,2007-12-31,,,,,,
"GRISEOFULVIN, MICROSIZE",FULVICIN-U/F | GRISEOFULVIN,chemical,32HRV3E3D5,Infectious,SHORT,0,7,9,2005-03-02,,,,,3.2252,
"GRISEOFULVIN, ULTRAMICROSIZE","FULVICIN P/G | FULVICIN P/G 165 | FULVICIN P/G 330 | GRIS-PEG | GRISEOFULVIN, ULTRAMICROSIZE | GRISEOFULVIN,ULTRAMICROSIZE",chemical,32HRV3E3D5,Infectious,SHORT,1,4,10,1982-04-06,,,,,,GRIS-PEG | GRIS-PEG 2
GUAIFENESIN,GUAIFENESIN | MUCINEX,chemical,495W7451VQ,Respiratory,SHORT,1,9,17,2002-07-12,1597338.94,1.60,23241,1351490,0.3448,MUCINEX | MUCINEX 10 | MUCINEX 20 | MUCINEX 40 | MUCINEX 50
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE | MUCINEX D,chemical,495W7451VQ | 6V9V2RYJ8N,Respiratory,SHORT,1,5,10,2004-06-22,70149.45,0.07,3010,85026,,MUCINEX D
GUANFACINE HYDROCHLORIDE,GUANFACINE HYDROCHLORIDE | INTUNIV,chemical,PML56A160O,Psychiatric,CHRONIC,1,21,62,1995-10-17,162770477.66,162.77,7829495,306394398,3.8512,GUANFACINE | INTUNIV | INTUNIV 1M | INTUNIV 2M | INTUNIV 3M
HALCINONIDE,HALCINONIDE | HALOG,chemical,SI86V6QNEG,Dermatology,CHRONIC,2,3,3,2019-08-12,,,,,,HALOG | HALOG  HAL | HALOG (HAL | HALOG 0.1% | HALOG EXTE
HALOBETASOL PROPIONATE,BRYHALI | HALOBETASOL PROPIONATE | ULTRAVATE,chemical,91A0K1TY3Z,Dermatology,CHRONIC,2,7,7,2004-12-16,143685.09,0.14,268,17340,1.9794,BRYHALI | BRYHALI 0. | BRYHALI LO | ULTRAVATE
HALOBETASOL PROPIONATE; TAZAROTENE,DUOBRII | HALOBETASOL PROPIONATE AND TAZAROTENE,chemical,91A0K1TY3Z | 81BDR9Y8PS,Dermatology,CHRONIC,1,1,1,2019-04-25,1114912.37,1.11,1148,115360,9.9264,DUOBRII | DUOBRII 0. | DUOBRII LO
HALOPERIDOL,HALOPERIDOL,chemical,J6292F8L3D,Psychiatric,CHRONIC,0,13,63,1986-06-10,,,,,7.5586,
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,chemical,AC20PJ4101,Psychiatric,CHRONIC,0,9,17,1997-12-19,,,,,,
HALOPERIDOL LACTATE,HALOPERIDOL,chemical,6387S86PK3,Psychiatric,CHRONIC,0,8,8,1993-02-26,,,,,,
HEPARIN SODIUM,"HEPARIN SODIUM | HEPARIN SODIUM 1,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | HEPARIN SODIUM 1,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | HEPARIN SODIUM 10,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER | HEPARIN SODIUM 12,500 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER | HEPARIN SODIUM 12,500 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER | HEPARIN SODIUM 2,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | HEPARIN SODIUM 2,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | HEPARIN SODIUM 20,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER | HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% | HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER | HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.45% | HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER | HEPARIN SODIUM IN PLASTIC CONTAINER | HEPARIN SODIUM PRESERVATIVE FREE",polymer,ZZ45AB24CA,Cardiovascular,SHORT,9,23,36,1982-04-28,372232048.71,372.23,3281433,80007616,3.0701,"HEPARIN 1, | HEPARIN 10 | HEPARIN 12 | HEPARIN 2, | HEPARIN 20"
HEPARIN SODIUM; TAUROLIDINE,DEFENCATH,polymer,ZZ45AB24CA | 8OBZ1M4V3V,Cardiovascular,SHORT,1,0,0,2023-11-15,,,,,,
HEXACHLOROPHENE,PRE-OP | PRE-OP II,chemical,IWW5FV6NK2,Other/Unclassified,OTHER,1,0,0,,,,,,,
HEXAMINOLEVULINATE HYDROCHLORIDE,CYSVIEW KIT,chemical,D4F329SL1O,Other/Unclassified,OTHER,1,0,0,2010-05-28,,,,,,
HISTRELIN ACETATE,SUPPRELIN LA,chemical,QMG7HLD1ZE,Other/Unclassified,OTHER,1,0,0,2007-05-03,,,,,,
HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,HOMATROPINE METHYLBROMIDE AND HYDROCODONE BITARTRATE | HYCODAN | HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,chemical,68JRS2HC1C | NO70W886KK,Pain,CHRONIC,1,5,5,1983-03-03,,,,,0.5326,HYCODAN | HYCODAN 5
HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,chemical,FD171B778Y,Cardiovascular,CHRONIC,0,19,38,1984-05-01,,,,,0.0433,
HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,BIDIL | ISOSORBIDE DINITRATE AND HYDRALAZINE HYDROCHLORIDE,chemical,FD171B778Y | IA7306519N,Cardiovascular,CHRONIC,1,2,2,2005-06-23,1440399.01,1.44,3188,340945,4.3814,BIDIL | BIDIL (ISO | BIDIL 20 M | BIDIL 90CT | BIDIL TABL
HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE | INZIRQO | MICROZIDE,chemical,0J48LPH2TH,Cardiovascular,CHRONIC,2,15,27,1996-12-27,,,,,0.0287,
HYDROCHLOROTHIAZIDE; IRBESARTAN,AVALIDE | IRBESARTAN AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | J0E2756Z7N,Cardiovascular,CHRONIC,1,9,21,1997-09-30,,,,,9.7125,AVALIDE | AVALIDE 15 | AVALIDE 30
HYDROCHLOROTHIAZIDE; LISINOPRIL,LISINOPRIL AND HYDROCHLOROTHIAZIDE | ZESTORETIC,chemical,0J48LPH2TH | E7199S1YWR,Cardiovascular,CHRONIC,1,8,24,1989-07-20,,,,,,ZESTORETIC
HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,HYZAAR | LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | 3ST302B24A,Cardiovascular,CHRONIC,1,11,32,1995-04-28,3600.83,0.00,13,842,5.6193,HYZAAR | HYZAAR 100 | HYZAAR 50-
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,LOPRESSOR HCT | METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | W5S57Y3A5L,Cardiovascular,CHRONIC,1,3,8,1984-12-31,,,,,,
HYDROCHLOROTHIAZIDE; MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | Q1UMG3UH45,Cardiovascular,CHRONIC,0,1,3,2007-03-07,,,,,,
HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,BENICAR HCT | OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | 6M97XTV3HD,Cardiovascular,CHRONIC,1,12,36,2003-06-05,,,,,12.9574,
HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | 33067B3N2M,Cardiovascular,CHRONIC,0,2,6,2004-03-31,,,,,,
HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,ALDACTAZIDE | SPIRONOLACTONE AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | 27O7W4T232,Cardiovascular,CHRONIC,1,2,2,1982-12-30,,,,,,
HYDROCHLOROTHIAZIDE; TELMISARTAN,MICARDIS HCT | TELMISARTAN AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | U5SYW473RQ,Cardiovascular,CHRONIC,1,6,18,2000-11-17,,,,,4.4968,
HYDROCHLOROTHIAZIDE; TRIAMTERENE,MAXZIDE | MAXZIDE-25 | TRIAMTERENE AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | WS821Z52LQ,Cardiovascular,CHRONIC,1,10,13,1984-10-22,,,,,,MAXZIDE - | MAXZIDE-25
HYDROCHLOROTHIAZIDE; VALSARTAN,DIOVAN HCT | VALSARTAN AND HYDROCHLOROTHIAZIDE,chemical,0J48LPH2TH | 80M03YXJ7I,Cardiovascular,CHRONIC,1,7,35,1998-03-06,111562.38,0.11,226,9615,12.2179,DIOVAN HCT
HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE | HYSINGLA ER,chemical,NO70W886KK,Pain,CHRONIC,1,2,13,2014-11-20,,,,,20.5451,
HYDROCODONE BITARTRATE; IBUPROFEN,HYDROCODONE BITARTRATE AND IBUPROFEN | REPREXAIN,chemical,NO70W886KK | WK2XYI10QM,Pain,CHRONIC,0,3,5,2003-12-31,,,,,,
HYDROCORTISONE,ALA-CORT | ALA-SCALP | ALKINDI SPRINKLE | ANUSOL HC | COLOCORT | CORTEF | CORTENEMA | HYDROCORTISONE | HYDROCORTISONE IN ABSORBASE | KHINDIVI | STIE-CORT | TEXACORT,chemical,WI4X0X7BPJ,Autoimmune,PERIODIC,4,23,36,1983-05-03,731091.80,0.73,4682,519181,1.2646,CORTEF | CORTEF 10 | CORTEF 10M | CORTEF 20 | CORTEF 20M
HYDROCORTISONE ACETATE,CORTIFOAM | MICORT-HC,chemical,3X7931PO74,Autoimmune,PERIODIC,1,1,1,1982-02-10,1595933.41,1.60,2887,58155,27.6662,CORTIFOAM
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,EPIFOAM | PRAMOSONE | PROCTOFOAM HC,chemical,3X7931PO74 | 88AYB867L5,Autoimmune,PERIODIC,0,6,6,,25229.01,0.03,245,2700,9.0640,EPIFOAM | EPIFOAM 10 | EPIFOAM FO | PRAMOSONE
HYDROCORTISONE BUTYRATE,HYDROCORTISONE BUTYRATE | LOCOID | LOCOID LIPOCREAM,chemical,05RMF7YPWN,Autoimmune,PERIODIC,3,6,6,1982-03-31,,,,,,LOCOID | LOCOID LOT
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE | SOLU-CORTEF,chemical,50LQB69S1Z,Autoimmune,PERIODIC,1,3,3,2024-09-05,,,,,24.4837,
HYDROCORTISONE VALERATE,HYDROCORTISONE VALERATE,chemical,68717P8FUZ,Autoimmune,PERIODIC,0,6,6,1998-08-25,,,,,,
HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,CASPORYN HC | NEOMYCIN AND POLYMYXIN B SULFATES AND HYDROCORTISONE | OTICAIR,mixture,WI4X0X7BPJ | 057Y626693 | 19371312D4,Autoimmune,PERIODIC,1,8,8,1983-08-25,,,,,,
HYDROMORPHONE HYDROCHLORIDE,DILAUDID | DILAUDID-HP | HYDROMORPHONE HYDROCHLORIDE,chemical,L960UP2KRW,Pain,CHRONIC,5,13,32,1984-01-11,113143810.57,113.14,264425,1699478,3.2351,DILAUDID | DILAUDID 0 | DILAUDID 1 | DILAUDID 2 | DILAUDID 4
HYDROXOCOBALAMIN,CYANOKIT | HYDROXOCOBALAMIN,chemical,Q40X8H422O,Metabolic,CHRONIC,1,1,1,2011-04-08,,,,,0.7961,
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE | PLAQUENIL | SOVUNA,chemical,8Q2869CNVH,Autoimmune,CHRONIC,2,13,19,1994-09-30,,,,,0.3364,
HYDROXYUREA,HYDREA | HYDROXYUREA | SIKLOS | XROMI,chemical,X6Q56QN5QC,Oncology,LONG-TERM,3,4,4,1998-10-16,14783889.74,14.78,10880,684416,21.4713,"HYDREA | HYDREA (HY | HYDREA 500 | SIKLOS | SIKLOS 1,0"
HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,chemical,76755771U3,Psychiatric,PERIODIC,0,21,42,1982-04-12,,,,,0.1228,
HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE | VISTARIL,chemical,M20215MUFR,Psychiatric,PERIODIC,1,7,9,1984-06-15,2419.76,0.00,231,7703,,VISTARIL | VISTARIL 2 | VISTARIL 5 | VISTARIL C
IBANDRONATE SODIUM,IBANDRONATE SODIUM,chemical,J12U072QL0,Metabolic,CHRONIC,0,9,9,2012-03-19,,,,,28.1611,
IBREXAFUNGERP CITRATE,BREXAFEMME,chemical,M4NU2SDX3E,Other/Unclassified,OTHER,1,0,0,2021-06-01,2008090.71,2.01,3499,16081,130.6421,BREXAFEMME
IBRUTINIB,IMBRUVICA,chemical,1X70OSD4VX,Oncology,LONG-TERM,3,0,0,2013-11-13,217001422.09,217.00,13209,489996,,IMBRUVICA
IBUPROFEN,ADVIL | ADVIL LIQUI-GELS | ADVIL MIGRAINE LIQUI-GELS | CALDOLOR | CHILDREN'S ADVIL | CHILDREN'S ADVIL-FLAVORED | CHILDREN'S IBUPROFEN | CHILDREN'S MOTRIN | IBUPROFEN | INFANT'S ADVIL | JUNIOR STRENGTH ADVIL | JUNIOR STRENGTH MOTRIN | MIDOL LIQUID GELS | MOTRIN IB,chemical,WK2XYI10QM,Pain,PERIODIC,12,63,87,1984-05-18,298244974.84,298.24,28890136,2077127315,0.0738,CALDOLOR | CALDOLOR ( | CALDOLOR 8 | CALDOLOR B | IBUPROFEN
IBUPROFEN LYSINE,IBUPROFEN LYSINE | NEOPROFEN,chemical,N01ORX9D6S,Pain,PERIODIC,1,1,1,2006-04-13,,,,,,
IBUPROFEN SODIUM,ADVIL,chemical,RM1CE97Z4N,Pain,PERIODIC,1,0,0,2012-06-12,,,,,,
IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE,ADVIL CONGESTION RELIEF | IBUPROFEN AND PHENYLEPHRINE HYDROCHLORIDE,chemical,WK2XYI10QM | 04JA59TNSJ,Pain,PERIODIC,1,1,1,2010-05-27,,,,,,
IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,ADVIL COLD AND SINUS | CHILDREN'S ADVIL COLD | CHILDREN'S MOTRIN COLD | IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE | IBUPROHM COLD AND SINUS | SINE-AID IB,chemical,WK2XYI10QM | 6V9V2RYJ8N,Pain,PERIODIC,5,4,4,1989-09-19,,,,,,
IBUTILIDE FUMARATE,CORVERT | IBUTILIDE FUMARATE,chemical,9L5X4M5L6I,Cardiovascular,SHORT,1,2,2,1995-12-28,,,,,,CORVERT | CORVERT .1 | CORVERT 1 | IBUTILIDE
ICATIBANT ACETATE,FIRAZYR | ICATIBANT ACETATE,chemical,325O8467XK,Other/Unclassified,OTHER,1,8,8,2011-08-25,32481992.08,32.48,2003,22771,,FIRAZYR | FIRAZYR 30 | ICATIBANT
ICODEXTRIN,EXTRANEAL,polymer,2NX48Z0A9G,Other/Unclassified,OTHER,1,0,0,2002-12-20,,,,,,EXTRANEAL
ICOSAPENT ETHYL,ICOSAPENT ETHYL | VASCEPA,chemical,6GC8A4PAYH,Metabolic,CHRONIC,1,11,18,2012-07-26,125047060.50,125.05,450407,63464012,1.3142,ICOSAPENT | VASCEPA | VASCEPA 0. | VASCEPA 1 | VASCEPA 50
ICOTROKINRA HYDROCHLORIDE,ICOTYDE,chemical,UN7M3WWC8P,Other/Unclassified,OTHER,1,0,0,2026-03-17,,,,,,
IDARUBICIN HYDROCHLORIDE,IDAMYCIN PFS | IDARUBICIN HYDROCHLORIDE,chemical,5VV3MDU5IE,Oncology,SHORT,1,3,9,1997-02-17,,,,,,IDARUBICIN
IDELALISIB,IDELALISIB | ZYDELIG,chemical,YG57I8T5M0,Oncology,LONG-TERM,1,1,2,2014-07-23,,,,,,ZYDELIG | ZYDELIG  I | ZYDELIG (I | ZYDELIG 15
IFOSFAMIDE,IFEX | IFOSFAMIDE,chemical,UM20QQM95Y,Oncology,SHORT,1,3,6,1988-12-30,443486.67,0.44,3015,31010,,IFEX | IFOSFAMIDE
ILOPERIDONE,FANAPT,chemical,VPO7KJ050N,Psychiatric,CHRONIC,1,0,0,2009-05-06,108290195.26,108.29,54063,2762899,38.3700,FANAPT | FANAPT 1 M | FANAPT 1+2 | FANAPT 10 | FANAPT 10M
ILOPROST,AURLUMYN,chemical,JED5K35YGL,Cardiovascular,CHRONIC,1,0,0,2024-02-13,,,,,,
IMATINIB MESYLATE,GLEEVEC | IMATINIB MESYLATE | IMKELDI,chemical,8A1O1M485B,Oncology,LONG-TERM,2,12,24,2003-04-18,44687780.71,44.69,36460,1454104,110.4206,GLEEVEC | GLEEVEC 10 | GLEEVEC 40 | GLEEVEC FC | IMATINIB M
IMETELSTAT SODIUM,RYTELO,chemical,2AW48LAZ4I,Other/Unclassified,OTHER,1,0,0,2024-06-06,,,,,,
IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,chemical,BKE5Q1J60U,Psychiatric,CHRONIC,0,10,14,1983-10-21,3723324.99,3.72,173800,9287196,0.0872,IMIPRAMINE
IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,chemical,MC34P30298,Psychiatric,CHRONIC,0,2,8,2010-04-16,,,,,4.0770,
IMIQUIMOD,IMIQUIMOD | ZYCLARA,chemical,P1QW714R7M,Other/Unclassified,OTHER,1,5,5,2010-02-25,8646519.06,8.65,194289,2422209,14.8413,IMIQUIMOD | ZYCLARA | ZYCLARA 2. | ZYCLARA 3.
IMLUNESTRANT TOSYLATE,INLURIYO,chemical,F7UDT90EW5,Other/Unclassified,OTHER,1,0,0,2025-09-25,,,,,,
INAMRINONE LACTATE,AMRINONE LACTATE,chemical,I229274Y5B,Other/Unclassified,OTHER,0,1,1,2000-05-09,,,,,,
INAVOLISIB,ITOVEBI,chemical,L4C1UY2NYH,Oncology,LONG-TERM,1,0,0,2024-10-10,,,,,,
INCLISIRAN SODIUM,LEQVIO,nucleicAcid,UPC6BTX7PY,Other/Unclassified,OTHER,1,0,0,2021-12-22,5788546.41,5.79,2266,5475,,LEQVIO | LEQVIO 284 | LEQVIO SYR
INDAPAMIDE,INDAPAMIDE,chemical,F089I0511L,Cardiovascular,CHRONIC,0,3,6,1995-07-27,990559.35,0.99,90691,4146962,0.0993,INDAPAMIDE
INDIGOTINDISULFONATE SODIUM,BLUDIGO,chemical,D3741U8K7L,Other/Unclassified,OTHER,1,0,0,2022-07-08,,,,,,BLUDIGO | BLUDIGO IN
INDIUM IN-111 OXYQUINOLINE,INDIUM IN 111 OXYQUINOLINE,chemical,LGX9OL562T,Other/Unclassified,OTHER,1,1,1,1985-12-24,,,,,,
INDIUM IN-111 PENTETATE DISODIUM,MPI INDIUM DTPA IN 111,chemical,7UIT3ZGC8E,Other/Unclassified,OTHER,1,0,0,1982-02-18,,,,,,
INDIUM IN-111 PENTETREOTIDE KIT,OCTREOSCAN,concept,,Other/Unclassified,OTHER,1,0,0,1994-06-02,,,,,,
INDOCYANINE GREEN,IC-GREEN | INDOCYANINE GREEN | SPY AGENT GREEN KIT,chemical,IX6J1063HV,Other,SHORT,2,1,1,2007-11-21,45681.82,0.05,117,136,,IC-GREEN 2
INDOMETHACIN,INDOCIN | INDOMETHACIN,chemical,XXE1CET956,Pain,PERIODIC,3,19,22,1984-08-06,,,,,0.1241,INDOCIN 25
IOBENGUANE SULFATE I-123,ADREVIEW,chemical,23X1185WBO,Other/Unclassified,OTHER,1,0,0,2008-09-19,,,,,,
IODINE POVACRYLEX; ISOPROPYL ALCOHOL,DURAPREP,polymer,6E43AWY083 | ND2M416302,Other/Unclassified,OTHER,1,0,0,2006-09-29,,,,,0.0685,IODINE | IODINE TIN
IODIXANOL,IODIXANOL | VISIPAQUE 270 | VISIPAQUE 320,chemical,HW8W27HTXX,Other,SHORT,2,1,2,1996-03-22,248169.52,0.25,3156,260693,,IODIXANOL
IOFLUPANE I-123,DATSCAN | IOFLUPANE I-123,chemical,3MM99T8R5Q,Other/Unclassified,OTHER,1,1,1,2011-01-14,,,,,,
IOHEXOL,IOHEXOL | OMNIPAQUE 12 | OMNIPAQUE 140 | OMNIPAQUE 180 | OMNIPAQUE 240 | OMNIPAQUE 300 | OMNIPAQUE 350 | OMNIPAQUE 9,chemical,4419T9MX03,Other,SHORT,2,1,1,1985-12-26,,,,,,
IOMEPROL,IOMERVU,chemical,17E17JBP8L,Other/Unclassified,OTHER,2,0,0,2024-11-27,,,,,,
IOPAMIDOL,IOPAMIDOL | ISOVUE-200 | ISOVUE-250 | ISOVUE-300 | ISOVUE-370 | ISOVUE-M 200 | ISOVUE-M 300,chemical,JR13W81H44,Other,SHORT,2,2,6,1985-12-31,,,,,,IOPAMIDOL
IOPROMIDE,ULTRAVIST (PHARMACY BULK) | ULTRAVIST 300 | ULTRAVIST 370,chemical,712BAC33MZ,Other/Unclassified,OTHER,2,0,0,1995-05-10,,,,,,
IOTHALAMATE MEGLUMINE,CONRAY | CYSTO-CONRAY II,chemical,XUW72GOP7W,Other/Unclassified,OTHER,2,0,0,,,,,,,
IOTHALAMATE SODIUM I-125,GLOFIL-125,chemical,31J5U3Q9ZN,Other/Unclassified,OTHER,1,0,0,,,,,,,
IOVERSOL,OPTIRAY 300 | OPTIRAY 320 | OPTIRAY 350,chemical,N3RIB7X24K,Other/Unclassified,OTHER,2,0,0,1988-12-30,,,,,,
IPRATROPIUM BROMIDE,ATROVENT HFA | IPRATROPIUM BROMIDE,chemical,J697UZ2A9J,Respiratory,CHRONIC,1,16,16,2001-01-26,,,,,0.5278,
IPTACOPAN HYDROCHLORIDE,FABHALTA,chemical,XW5CK7C6YH,Other/Unclassified,OTHER,1,0,0,2023-12-05,,,,,,
IRBESARTAN,AVAPRO | IRBESARTAN,chemical,J0E2756Z7N,Cardiovascular,CHRONIC,1,15,45,1997-09-30,9087497.41,9.09,468913,22658326,3.9267,AVAPRO | AVAPRO 150 | AVAPRO 300 | AVAPRO 75 | AVAPRO 75M
IRINOTECAN HYDROCHLORIDE,CAMPTOSAR | IRINOTECAN HYDROCHLORIDE | ONIVYDE,chemical,042LAQ1IIS,Oncology,LONG-TERM,2,16,35,1996-06-14,22112598.57,22.11,76045,891400,,CAMPTOSAR | IRINOTECAN | ONIVYDE | ONIVYDE 43
