Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Dacomitinib,VIZIMPRO,Non-small cell lung cancer (EGFR+),Oncology,EGFR | ERBB2 | ERBB4,,45MG oral,Once or twice daily,Long-term (until progression / disease control),DACOMITINIB,0.0
Dapagliflozin,DAPAGLIFLOZIN,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2,1.50,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),DAPAGLIFLOZIN,1497.01
Dapagliflozin; Metformin Hydrochloride,XIGDUO XR,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2 | MT-ND6 | GPD2,0.05,10MG; 500MG oral,Once daily,Indefinite (lifelong maintenance),DAPAGLIFLOZIN; METFORMIN HYDROCHLORIDE,53.75
Dapagliflozin; Saxagliptin Hydrochloride,DAPAGLIFLOZIN AND SAXAGLIPTIN HYDROCHLORIDE,Type 2 diabetes,Metabolic,SLC5A2 | DPP4,,10MG; 5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DAPAGLIFLOZIN; SAXAGLIPTIN HYDROCHLORIDE,0.0
Dapsone,ACZONE,Infectious disease,Infectious,folP1,0.01,100MG oral,Once or twice daily,Long-term (until progression / disease control),DAPSONE,11.51
Darifenacin Hydrobromide,DARIFENACIN,Neurological disorder,Neurology,CHRM3 | CHRM2,,7.5MG BASE oral,Once daily,Indefinite (lifelong maintenance),DARIFENACIN HYDROBROMIDE,0.0
Darolutamide,NUBEQA,Prostate cancer (mCRPC),Oncology,AR,0.08,300MG oral,Once or twice daily,Long-term (until progression / disease control),DAROLUTAMIDE,76.63
Darunavir,DARUNAVIR,Infectious disease,Infectious,pol,0.10,800MG oral,Once or twice daily,Indefinite (lifelong maintenance),DARUNAVIR,101.88
Dasatinib,DASATINIB,Chronic myeloid leukaemia (CML),Oncology,ABL1,0.55,140MG oral,Once or twice daily,Long-term (until progression / disease control),DASATINIB,549.56
Decitabine,DECITABINE,MDS; AML,Infectious,DNMT3A | DNMT1,0.00,50MG/VIAL IV,As directed,Indefinite (lifelong maintenance),DECITABINE,1.57
Deferasirox,DEFERASIROX,Iron overload,Other,Iron chelating agent,0.01,360MG oral,Once or twice daily,Indefinite (lifelong maintenance),DEFERASIROX,8.06
Deferoxamine Mesylate,DEFEROXAMINE MESYLATE,Iron overload,Other,Iron chelating agent,0.00,500MG/VIAL,As directed,Indefinite (lifelong maintenance),DEFEROXAMINE MESYLATE,0.08
Deflazacort,DEFLAZACORT,Autoimmune disease,Autoimmune,NR3C1,0.42,36MG oral,Once or twice daily,Indefinite (lifelong maintenance),DEFLAZACORT,424.39
Degarelix Acetate,FIRMAGON,Cancer,Oncology,GNRHR,0.00,120MG BASE/VIAL SC,Once daily,Long-term (until progression / disease control),DEGARELIX ACETATE,1.89
Delgocitinib,ANZUPGO,RA; Psoriatic arthritis; UC; Atopic dermatitis,Oncology,JAK3,,2% topical,Once or twice daily,Long-term (until progression / disease control),DELGOCITINIB,0.0
Desipramine Hydrochloride,DESIPRAMINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A2,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),DESIPRAMINE HYDROCHLORIDE,0.0
Desmopressin Acetate,DDAVP,Metabolic disorder,Metabolic,AVPR2,0.00,0.2MG oral,Once or twice daily,Indefinite (lifelong maintenance),DESMOPRESSIN ACETATE,0.96
Desogestrel; Ethinyl Estradiol,AVERI,Metabolic disorder,Metabolic,PGR | ESR1,0.01,"0.1MG,0.125MG,0.15MG; 0.025MG,0.025MG,0.025MG oral",Once or twice daily,Indefinite (lifelong maintenance),DESOGESTREL; ETHINYL ESTRADIOL,8.49
Desonide,DESONIDE,Skin disorder,Dermatology,NR3C1,0.01,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance),DESONIDE,8.32
Desoximetasone,DESOXIMETASONE,Skin disorder,Dermatology,NR3C1,,0.25% topical,As directed,Indefinite (lifelong maintenance),DESOXIMETASONE,0.0
Desvenlafaxine,DESVENLAFAXINE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,,100MG oral,Once daily,Indefinite (lifelong maintenance),DESVENLAFAXINE,0.0
Desvenlafaxine Succinate,DESVENLAFAXINE SUCCINATE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.04,100MG BASE oral,Once daily,Indefinite (lifelong maintenance),DESVENLAFAXINE SUCCINATE,36.28
Deucravacitinib,SOTYKTU,Cancer,Oncology,TYK2,0.03,6MG oral,Once or twice daily,Long-term (until progression / disease control),DEUCRAVACITINIB,27.44
Deuruxolitinib Phosphate,LEQSELVI,Cancer,Oncology,JAK3 | JAK2 | JAK1 | TYK2,,8MG BASE oral,Once or twice daily,Long-term (until progression / disease control),DEURUXOLITINIB PHOSPHATE,0.0
Deutetrabenazine,AUSTEDO,Neurological disorder,Neurology,SLC18A2,0.56,12MG oral,Once or twice daily,Indefinite (lifelong maintenance),DEUTETRABENAZINE,555.93
Dexlansoprazole,DEXILANT,GI disorder,GI,ATP4A,0.04,60MG oral,Once daily,Indefinite (lifelong maintenance),DEXLANSOPRAZOLE,35.49
Dexmethylphenidate Hydrochloride,FOCALIN,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,0.50,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),DEXMETHYLPHENIDATE HYDROCHLORIDE,504.65
Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride,AZSTARYS,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,0.08,10.4MG BASE; 52.3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DEXMETHYLPHENIDATE HYDROCHLORIDE; SERDEXMETHYLPHENIDATE CHLORIDE,80.51
Dextroamphetamine,XELSTRYM,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2 | SLC18A2,0.00,18MG/9HR transdermal,Once weekly,Indefinite (lifelong maintenance),DEXTROAMPHETAMINE,0.21
Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2 | SLC18A2,,15MG oral,Once daily,Indefinite (lifelong maintenance),DEXTROAMPHETAMINE SULFATE,0.0
Dicyclomine Hydrochloride,DICYCLOMINE HYDROCHLORIDE,GI disorder,GI,CHRM3 | CHRM1,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),DICYCLOMINE HYDROCHLORIDE,0.0
Dienogest; Estradiol Valerate,NATAZIA,Metabolic disorder,Metabolic,ESR1,0.00,"N/A,2MG,3MG,N/A,N/A; 3MG,2MG,2MG,1MG,N/A oral",Once or twice daily,Indefinite (lifelong maintenance),DIENOGEST; ESTRADIOL VALERATE,4.51
Difamilast,ADQUEY,Psoriasis; Psoriatic arthritis,Dermatology,PDE4A,,1% topical,Once or twice daily,Indefinite (lifelong maintenance),DIFAMILAST,0.0
Digoxin,DIGOXIN,Heart failure; Atrial fibrillation,Cardiovascular,ATP1A1,0.01,0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),DIGOXIN,8.22
Diltiazem Hydrochloride,CARDIZEM,Hypertension; Angina,Cardiovascular,CACNA1C,0.03,120MG oral,Once or twice daily,Indefinite (lifelong maintenance),DILTIAZEM HYDROCHLORIDE,32.14
Dimethyl Fumarate,DIMETHYL FUMARATE,Neurological disorder,Neurology,KEAP1,0.13,240MG oral,Once daily,Indefinite (lifelong maintenance),DIMETHYL FUMARATE,132.39
Dipyridamole,DIPYRIDAMOLE,Cardiovascular disease,Cardiovascular,SLC29A1 | PDE5A,,5MG/mL,As directed,Indefinite (lifelong maintenance),DIPYRIDAMOLE,0.0
Disopyramide Phosphate,DISOPYRAMIDE PHOSPHATE,Cardiovascular disease,Cardiovascular,SCN1A,0.00,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DISOPYRAMIDE PHOSPHATE,0.11
Divalproex Sodium,DEPAKOTE,Neurological disorder,Neurology,ALDH5A1,0.18,500MG VALPROIC ACID oral,Once daily,Indefinite (lifelong maintenance),DIVALPROEX SODIUM,178.57
Docetaxel,BEIZRAY,Cancer,Oncology,TUBB4B,0.02,160MG/16ML (10MG/mL) IV,As directed,Long-term (until progression / disease control),DOCETAXEL,15.05
Dofetilide,DOFETILDE,Cardiovascular disease,Cardiovascular,KCNH2,0.00,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),DOFETILIDE,2.65
Dolutegravir Sodium,TIVICAY,Infectious disease,Infectious,pol,0.63,50MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DOLUTEGRAVIR SODIUM,628.5
Dolutegravir Sodium; Lamivudine,DOVATO,Infectious disease,Infectious,pol | P,0.51,50MG BASE; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),DOLUTEGRAVIR SODIUM; LAMIVUDINE,513.01
Dolutegravir Sodium; Rilpivirine Hydrochloride,JULUCA,Infectious disease,Infectious,pol,0.22,50MG BASE; 25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DOLUTEGRAVIR SODIUM; RILPIVIRINE HYDROCHLORIDE,218.84
Donepezil Hydrochloride,ARICEPT,Alzheimer's disease; Myasthenia gravis,Neurology,ACHE,0.01,23MG oral,Once or twice daily,Indefinite (lifelong maintenance),DONEPEZIL HYDROCHLORIDE,7.2
Donepezil Hydrochloride; Memantine Hydrochloride,NAMZARIC,Alzheimer's disease; Myasthenia gravis,Neurology,ACHE | GRIN1,0.00,10MG; 28MG oral,Once daily,Indefinite (lifelong maintenance),DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE,2.31
Doravirine,PIFELTRO,Infectious disease,Infectious,pol,0.04,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),DORAVIRINE,41.15
Doravirine; Islatravir,IDVYNSO,Infectious disease,Infectious,pol | reverse,,100MG; 0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),DORAVIRINE; ISLATRAVIR,0.0
Doravirine; Lamivudine; Tenofovir Disoproxil Fumarate,DELSTRIGO,Infectious disease,Infectious,pol | P,0.03,100MG; 300MG … oral,Once or twice daily,Indefinite (lifelong maintenance),DORAVIRINE; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,29.54
Dorzolamide Hydrochloride,DORZOLAMIDE HYDROCHLORIDE,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,CA2,,2% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),DORZOLAMIDE HYDROCHLORIDE,0.0
Dorzolamide Hydrochloride; Timolol Maleate,COSOPT,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,CA2 | ADRB1 | ADRB2,0.00,2% BASE; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE,0.46
Doxazosin Mesylate,CARDURA,Cardiovascular disease,Cardiovascular,ADRA1A,0.00,8MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DOXAZOSIN MESYLATE,4.76
Doxepin Hydrochloride,DOXEPIN HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A2,0.05,6MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DOXEPIN HYDROCHLORIDE,51.99
Doxercalciferol,DOXERCALCIFEROL,Metabolic disorder,Metabolic,VDR,,0.5MCG oral,Once or twice daily,Indefinite (lifelong maintenance),DOXERCALCIFEROL,0.0
Doxylamine Succinate; Pyridoxine Hydrochloride,BONJESTA,Allergic rhinitis; Urticaria,Metabolic,HRH1,0.04,20MG; 20MG oral,Once daily,Indefinite (lifelong maintenance),DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE,40.72
Dronedarone Hydrochloride,MULTAQ,Hypertension; Angina,Cardiovascular,CACNA1C | SCN1A | KCNJ2 | HCN4,0.02,400MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),DRONEDARONE HYDROCHLORIDE,24.86
Drospirenone,SLYND,Heart failure; Hypertension; Hyperaldosteronism,Metabolic,NR3C2 | PGR,0.10,4MG oral,Once or twice daily,Indefinite (lifelong maintenance),DROSPIRENONE,95.95
Drospirenone; Estetrol,NEXTSTELLIS,Heart failure; Hypertension; Hyperaldosteronism,Metabolic,NR3C2 | PGR | ESR2,,3MG; 14.2MG oral,Once or twice daily,Indefinite (lifelong maintenance),DROSPIRENONE; ESTETROL,0.0
Drospirenone; Estradiol,ANGELIQ,Heart failure; Hypertension; Hyperaldosteronism,Metabolic,NR3C2 | PGR | ESR1,0.00,0.5MG; 1MG oral,Once or twice daily,Indefinite (lifelong maintenance),DROSPIRENONE; ESTRADIOL,0.44
Drospirenone; Ethinyl Estradiol,LO-ZUMANDIMINE,Heart failure; Hypertension; Hyperaldosteronism,Metabolic,NR3C2 | PGR | ESR1,0.02,3MG; 0.03MG oral,Once or twice daily,Indefinite (lifelong maintenance),DROSPIRENONE; ETHINYL ESTRADIOL,20.19
Drospirenone; Ethinyl Estradiol; Levomefolate Calcium,BEYAZ,Heart failure; Hypertension; Hyperaldosteronism,Metabolic,NR3C2 | PGR | ESR1,0.00,"3MG,N/A; 0.03MG,N/A … oral",Once or twice daily,Indefinite (lifelong maintenance),DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM,0.84
Droxidopa,DROXIDOPA,Neurological disorder,Neurology,ADRA1A,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),DROXIDOPA,3.32
Duloxetine Hydrochloride,DRIZALMA SPRINKLE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.15,120MG BASE oral,Once daily,Indefinite (lifelong maintenance),DULOXETINE HYDROCHLORIDE,152.36
Dutasteride,AVODART,Metabolic disorder,Metabolic,SRD5A1,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),DUTASTERIDE,0.0
Dutasteride; Tamsulosin Hydrochloride,JALYN,Metabolic disorder,Metabolic,SRD5A1 | ADRA1A,,0.5MG; 0.4MG oral,Once or twice daily,Indefinite (lifelong maintenance),DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE,0.0
Duvelisib,COPIKTRA,Cancer,Oncology,,0.00,25MG oral,Once or twice daily,Long-term (until progression / disease control),DUVELISIB,3.32
Edoxaban Tosylate,SAVAYSA,Atrial fibrillation; DVT/PE prevention,Cardiovascular,F10,0.00,60MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),EDOXABAN TOSYLATE,0.6
Efavirenz,EFAVIRENZ,Infectious disease,Infectious,pol,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),EFAVIRENZ,0.81
Efavirenz; Emtricitabine; Tenofovir Disoproxil Fumarate,"EFAVIRENZ, EMTRICITABINE, AND TENOFOVIR DISOPROXIL FUMARATE",Infectious disease,Infectious,pol,,600MG; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance),EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,0.0
Efavirenz; Lamivudine; Tenofovir Disoproxil Fumarate,SYMFI,Infectious disease,Infectious,pol | P,0.00,600MG; 300MG … oral,Once or twice daily,Indefinite (lifelong maintenance),EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,0.91
Elagolix Sodium,ORILISSA,GI disorder,GI,GNRHR,0.06,200MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ELAGOLIX SODIUM,61.78
"Elagolix Sodium,estradiol,norethindrone Acetate; Elagolix Sodium",ORIAHNN (COPACKAGED),GI disorder,GI,GNRHR,,"300MG BASE,1MG,0.5MG; 300MG BASE oral",Once or twice daily,Indefinite (lifelong maintenance),"ELAGOLIX SODIUM,ESTRADIOL,NORETHINDRONE ACETATE; ELAGOLIX SODIUM",0.0
Eltrombopag Choline,ALVAIZ,Autoimmune disease,Autoimmune,MPL,,54MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ELTROMBOPAG CHOLINE,0.0
Eltrombopag Olamine,ELTROMBOPAG OLAMINE,Autoimmune disease,Autoimmune,MPL,0.43,75MG ACID oral,Once or twice daily,Indefinite (lifelong maintenance),ELTROMBOPAG OLAMINE,425.98
Empagliflozin,JARDIANCE,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2,3.62,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),EMPAGLIFLOZIN,3615.91
Empagliflozin; Linagliptin,GLYXAMBI,Type 2 diabetes,Metabolic,SLC5A2 | DPP4,0.02,25MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),EMPAGLIFLOZIN; LINAGLIPTIN,16.98
Empagliflozin; Linagliptin; Metformin Hydrochloride,TRIJARDY XR,Type 2 diabetes,Metabolic,SLC5A2 | DPP4 | MT-ND6 | GPD2,,25MG; 5MG … oral,Once daily,Indefinite (lifelong maintenance),EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,0.0
Empagliflozin; Metformin Hydrochloride,SYNJARDY,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2 | MT-ND6 | GPD2,0.14,12.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance),EMPAGLIFLOZIN; METFORMIN HYDROCHLORIDE,139.12
Emtricitabine,EMTRICITABINE,Infectious disease,Infectious,pol,0.00,10MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),EMTRICITABINE,0.59
Emtricitabine; Rilpivirine Hydrochloride; Tenofovir Alafenamide Fumarate,ODEFSEY,Infectious disease,Infectious,pol,0.53,200MG; 25MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance),EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR ALAFENAMIDE FUMARATE,525.04
Emtricitabine; Rilpivirine Hydrochloride; Tenofovir Disoproxil Fumarate,COMPLERA,Infectious disease,Infectious,pol,0.05,200MG; 25MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance),EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR DISOPROXIL FUMARATE,51.01
Emtricitabine; Tenofovir Alafenamide Fumarate,DESCOVY,Infectious disease,Infectious,pol,1.03,200MG; 25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,1033.52
Emtricitabine; Tenofovir Disoproxil Fumarate,TRUVADA,Infectious disease,Infectious,pol,0.04,200MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,40.69
Enalapril Maleate,ENALAPRIL MALEATE,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.04,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),ENALAPRIL MALEATE,44.67
Enalapril Maleate; Hydrochlorothiazide,VASERETIC,Hypertension; Heart failure; CKD,Cardiovascular,ACE | SLC12A3,,10MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),ENALAPRIL MALEATE; HYDROCHLOROTHIAZIDE,0.0
Enasidenib Mesylate,IDHIFA,Cancer,Oncology,IDH2,0.01,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ENASIDENIB MESYLATE,10.04
Encorafenib,BRAFTOVI,Cancer,Oncology,BRAF,0.03,75MG oral,Once or twice daily,Long-term (until progression / disease control),ENCORAFENIB,31.34
Ensartinib Hydrochloride,ENSACOVE,Non-small cell lung cancer (ALK+),Oncology,ALK,,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ENSARTINIB HYDROCHLORIDE,0.0
Entacapone,COMTAN,Neurological disorder,Neurology,COMT,0.00,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),ENTACAPONE,0.78
Entecavir,BARACLUDE,Infectious disease,Infectious,P,0.02,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),ENTECAVIR,16.0
Entrectinib,ROZLYTREK,Non-small cell lung cancer (ALK+),Oncology,NTRK1 | ROS1 | ALK,0.01,50MG/PACKET oral,As directed,Long-term (until progression / disease control),ENTRECTINIB,6.25
Enzalutamide,ENZALUTAMIDE,Prostate cancer (mCRPC),Oncology,AR,0.28,80MG oral,Once or twice daily,Long-term (until progression / disease control),ENZALUTAMIDE,281.04
Eplerenone,EPLERENONE,Heart failure; Hypertension; Hyperaldosteronism,Cardiovascular,NR3C2,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),EPLERENONE,5.67
Epoprostenol Sodium,EPOPROSTENOL SODIUM,Cardiovascular disease,Cardiovascular,PTGIR,0.01,1.5MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),EPOPROSTENOL SODIUM,10.06
Erdafitinib,BALVERSA,Cancer,Oncology,FGFR3,0.00,5MG oral,Once or twice daily,Long-term (until progression / disease control),ERDAFITINIB,0.23
Eribulin Mesylate,ERIBULIN MESYLATE,Cancer,Oncology,TUBB4B,0.01,1MG/2ML (0.5MG/mL) IV,As directed,Long-term (until progression / disease control),ERIBULIN MESYLATE,10.83
Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE,Non-small cell lung cancer (EGFR+),Oncology,EGFR,0.00,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ERLOTINIB HYDROCHLORIDE,0.24
Ertugliflozin,STEGLATRO,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2,0.31,15MG oral,Once or twice daily,Indefinite (lifelong maintenance),ERTUGLIFLOZIN,308.09
Ertugliflozin; Metformin Hydrochloride,SEGLUROMET,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2 | MT-ND6 | GPD2,0.02,7.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance),ERTUGLIFLOZIN; METFORMIN HYDROCHLORIDE,19.32
Ertugliflozin; Sitagliptin Phosphate,STEGLUJAN,Type 2 diabetes,Metabolic,SLC5A2 | DPP4,0.00,15MG; 100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ERTUGLIFLOZIN; SITAGLIPTIN PHOSPHATE,2.87
Escitalopram Oxalate,ESCITALOPRAM,Psychiatric disorder,Psychiatric,SLC6A4,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ESCITALOPRAM OXALATE,5.25
Eslicarbazepine Acetate,APTIOM,Hypertension; Heart failure; Diabetic nephropathy,Neurology,SCN1A,0.25,800MG oral,Once or twice daily,Indefinite (lifelong maintenance),ESLICARBAZEPINE ACETATE,245.14
Esmolol Hydrochloride,BREVIBLOC,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.00,2.5GM/250ML (10MG/mL) IV,As directed,Indefinite (lifelong maintenance),ESMOLOL HYDROCHLORIDE,4.86
Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,GI disorder,GI,ATP4A,0.09,20MG BASE oral,Once daily,Indefinite (lifelong maintenance),ESOMEPRAZOLE MAGNESIUM,86.31
Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,GI disorder,GI,ATP4A | PTGS2,,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance),ESOMEPRAZOLE MAGNESIUM; NAPROXEN,0.0
Esomeprazole Sodium,ESOMEPRAZOLE SODIUM,GI disorder,GI,ATP4A,,40MG BASE/VIAL IV,As directed,Indefinite (lifelong maintenance),ESOMEPRAZOLE SODIUM,0.0
Estradiol,CLIMARA,Metabolic disorder,Metabolic,ESR1,0.12,10MCG,As directed,Indefinite (lifelong maintenance),ESTRADIOL,119.83
Estradiol Acetate,FEMRING,Metabolic disorder,Metabolic,ESR1,0.00,0.1MG BASE/24HR,Once daily,Indefinite (lifelong maintenance),ESTRADIOL ACETATE,1.45
Estradiol Cypionate,DEPO-ESTRADIOL,Metabolic disorder,Metabolic,ESR1,,5MG/mL,As directed,Indefinite (lifelong maintenance),ESTRADIOL CYPIONATE,0.0
Estradiol Valerate,DELESTROGEN,Metabolic disorder,Metabolic,ESR1,,20MG/mL,As directed,Indefinite (lifelong maintenance),ESTRADIOL VALERATE,0.0
Estradiol; Levonorgestrel,CLIMARA PRO,Metabolic disorder,Metabolic,ESR1 | PGR,,0.045MG/24HR; 0.015MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),ESTRADIOL; LEVONORGESTREL,0.0
Estradiol; Norethindrone Acetate,ACTIVELLA,Metabolic disorder,Metabolic,ESR1 | PGR,0.01,1MG; 0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),ESTRADIOL; NORETHINDRONE ACETATE,10.14
Estradiol; Norethindrone Acetate; Relugolix,MYFEMBREE,Metabolic disorder,Metabolic,ESR1 | PGR | GNRHR,0.04,1MG; 0.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance),ESTRADIOL; NORETHINDRONE ACETATE; RELUGOLIX,37.35
Estradiol; Progesterone,BIJUVA,Metabolic disorder,Metabolic,ESR1 | PGR,0.00,1MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance),ESTRADIOL; PROGESTERONE,0.21
"Estrogens, Conjugated",CONJUGATED ESTROGENS,Metabolic disorder,Metabolic,ESR2,0.14,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),"ESTROGENS, CONJUGATED",135.73
"Estrogens, Conjugated; Medroxyprogesterone Acetate",PREMPRO,Metabolic disorder,Metabolic,ESR2 | PGR,0.04,0.625MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),"ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE",35.88
Ethacrynic Acid,EDECRIN,Cardiovascular disease,Cardiovascular,SLC12A1,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),ETHACRYNIC ACID,0.48
Ethinyl Estradiol; Ethynodiol Diacetate,KELNOR,Metabolic disorder,Metabolic,ESR1 | PGR,0.02,0.035MG; 1MG oral,Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE,19.45
Ethinyl Estradiol; Etonogestrel,ELURYNG,Metabolic disorder,Metabolic,ESR1 | PGR,0.12,0.015MG/24HR; 0.12MG/24HR,As directed,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; ETONOGESTREL,123.79
Ethinyl Estradiol; Levonorgestrel,AFIRMELLE,Metabolic disorder,Metabolic,ESR1 | PGR,0.07,0.02MG; 0.1MG oral,Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; LEVONORGESTREL,65.5
Ethinyl Estradiol; Norelgestromin,ONSURA,Metabolic disorder,Metabolic,ESR1 | PGR,0.14,0.035MG/24HR; 0.15MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; NORELGESTROMIN,139.49
Ethinyl Estradiol; Norethindrone,ARANELLE,Metabolic disorder,Metabolic,ESR1 | PGR,0.00,"0.035MG,0.035MG,0.035MG; 0.5MG,1MG,0.5MG oral",Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; NORETHINDRONE,1.79
Ethinyl Estradiol; Norethindrone Acetate,AUROVELA 24 FE,Metabolic disorder,Metabolic,ESR1 | PGR,0.00,"0.01MG,0.01MG; 1MG,N/A oral",Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,4.22
Ethinyl Estradiol; Norgestimate,ESTARYLLA,Metabolic disorder,Metabolic,ESR1 | PGR,0.02,0.035MG; 0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; NORGESTIMATE,24.41
Ethinyl Estradiol; Norgestrel,CRYSELLE,Metabolic disorder,Metabolic,ESR1 | PGR,0.00,0.03MG; 0.3MG oral,Once or twice daily,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; NORGESTREL,3.94
