Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Dipyridamole,DIPYRIDAMOLE,Venous thromboembolism,Cardiovascular – Thrombosis,chemical,SLC29A1 | PDE5A,,5MG/mL,As directed,Indefinite (lifelong maintenance)
Disopyramide Phosphate,DISOPYRAMIDE PHOSPHATE,Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,SCN1A,0.00,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Divalproex Sodium,DEPAKOTE,Bipolar disorder; Epilepsy / seizures; Migraine,Neurology – Pain / Headache,chemical,ALDH5A1,0.18,500MG VALPROIC ACID oral,Once daily,Indefinite (lifelong maintenance)
Docetaxel,BEIZRAY,Non-small cell lung cancer; Small cell lung cancer; Breast cancer,Oncology – Solid Tumor,chemical,TUBB4B,0.02,160MG/16ML (10MG/mL) IV,As directed,Long-term (until progression / disease control)
Dofetilide,DOFETILDE,Atrial fibrillation; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,KCNH2,0.00,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dolutegravir Sodium,TIVICAY,HIV infection,Infectious – HIV,chemical,pol,0.63,50MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Dolutegravir Sodium; Lamivudine,DOVATO,HIV infection,Infectious – HIV,chemical,pol | P,0.51,50MG BASE; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dolutegravir Sodium; Rilpivirine Hydrochloride,JULUCA,HIV infection,Infectious – HIV,chemical,pol,0.22,50MG BASE; 25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Donepezil Hydrochloride,ARICEPT,Alzheimer's disease / dementia,Neurology – Neurodegeneration,chemical,ACHE,0.01,23MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Donepezil Hydrochloride; Memantine Hydrochloride,NAMZARIC,Alzheimer's disease / dementia,Neurology – Neurodegeneration,chemical,ACHE | GRIN1,0.00,10MG; 28MG oral,Once daily,Indefinite (lifelong maintenance)
Doravirine,PIFELTRO,HIV infection,Infectious – HIV,chemical,pol,0.04,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Doravirine; Islatravir,IDVYNSO,HIV infection,Infectious – HIV,chemical,pol | reverse,,100MG; 0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Doravirine; Lamivudine; Tenofovir Disoproxil Fumarate,DELSTRIGO,HIV infection,Infectious – HIV,chemical,pol | P,0.03,100MG; 300MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Dorzolamide Hydrochloride,DORZOLAMIDE HYDROCHLORIDE,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,CA2,,2% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Dorzolamide Hydrochloride; Timolol Maleate,COSOPT,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,CA2 | ADRB1 | ADRB2,0.00,2% BASE; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Doxazosin Mesylate,CARDURA,Hypertension; Benign prostatic hyperplasia,Cardiovascular – Hypertension,chemical,ADRA1A,0.00,8MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Doxepin Hydrochloride,DOXEPIN HYDROCHLORIDE,Insomnia,Psychiatry – Sleep,mixture,SLC6A2,0.05,6MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Doxercalciferol,DOXERCALCIFEROL,Mineral / vitamin D disorder; Chronic kidney disease,Endocrinology – Metabolic,chemical,VDR,,0.5MCG oral,Once or twice daily,Indefinite (lifelong maintenance)
Doxylamine Succinate; Pyridoxine Hydrochloride,BONJESTA,Nausea / vomiting,Endocrinology – Metabolic,chemical,HRH1,0.04,20MG; 20MG oral,Once daily,Indefinite (lifelong maintenance)
Dronedarone Hydrochloride,MULTAQ,Atrial fibrillation,Cardiovascular – Arrhythmia,chemical,CACNA1C | SCN1A | KCNJ2 | HCN4,0.02,400MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Drospirenone,SLYND,Acne; Contraception,Endocrinology – Reproductive,chemical,NR3C2 | PGR,0.10,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Drospirenone; Estetrol,NEXTSTELLIS,Heart failure; Hypertension; Hyperaldosteronism,Endocrinology – Metabolic,chemical,NR3C2 | PGR | ESR2,,3MG; 14.2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Drospirenone; Estradiol,ANGELIQ,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,NR3C2 | PGR | ESR1,0.00,0.5MG; 1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Drospirenone; Ethinyl Estradiol,LO-ZUMANDIMINE,Acne; Contraception,Endocrinology – Reproductive,chemical,NR3C2 | PGR | ESR1,0.02,3MG; 0.03MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Drospirenone; Ethinyl Estradiol; Levomefolate Calcium,BEYAZ,Acne; Contraception,Endocrinology – Reproductive,chemical,NR3C2 | PGR | ESR1,0.00,"3MG,N/A; 0.03MG,N/A … oral",Once or twice daily,Indefinite (lifelong maintenance)
Droxidopa,DROXIDOPA,Diabetes mellitus; Parkinson's disease,Neurology – Movement Disorder,chemical,ADRA1A,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Duloxetine Hydrochloride,DRIZALMA SPRINKLE,Diabetes mellitus; Major depressive disorder; Anxiety disorder; Neuropathic pain / fibromyalgia,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,0.15,120MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Dutasteride,AVODART,Benign prostatic hyperplasia,Urology – Prostate,chemical,SRD5A1,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dutasteride; Tamsulosin Hydrochloride,JALYN,Benign prostatic hyperplasia,Urology – Prostate,chemical,SRD5A1 | ADRA1A,,0.5MG; 0.4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Duvelisib,COPIKTRA,Chronic lymphocytic leukemia; Lymphoma,Oncology – Hematologic,chemical,,0.00,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Edoxaban Tosylate,SAVAYSA,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis; Pulmonary embolism,Cardiovascular – Arrhythmia,chemical,F10,0.00,60MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Efavirenz,EFAVIRENZ,HIV infection,Infectious – HIV,chemical,pol,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Efavirenz; Emtricitabine; Tenofovir Disoproxil Fumarate,"EFAVIRENZ, EMTRICITABINE, AND TENOFOVIR DISOPROXIL FUMARATE",HIV infection,Infectious – HIV,chemical,pol,,600MG; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Efavirenz; Lamivudine; Tenofovir Disoproxil Fumarate,SYMFI,HIV infection,Infectious – HIV,chemical,pol | P,0.00,600MG; 300MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Elagolix Sodium,ORILISSA,Menopausal / hormone therapy,Gastroenterology – Other,chemical,GNRHR,0.06,200MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
"Elagolix Sodium,estradiol,norethindrone Acetate; Elagolix Sodium",ORIAHNN (COPACKAGED),Menopausal / hormone therapy,Gastroenterology – Other,chemical,GNRHR,,"300MG BASE,1MG,0.5MG; 300MG BASE oral",Once or twice daily,Indefinite (lifelong maintenance)
Elamipretide Hydrochloride,FORZINITY,Barth syndrome,Endocrinology – Metabolic,chemical,,,EQ 280MG BASE/3.5ML SC,Weekly or as directed,Indefinite (lifelong maintenance)
Eltrombopag Choline,ALVAIZ,Myelodysplastic syndromes; Hepatitis C,Autoimmune – Rheumatology,chemical,MPL,,54MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Eltrombopag Olamine,ELTROMBOPAG OLAMINE,Myelodysplastic syndromes; Hepatitis C,Autoimmune – Rheumatology,chemical,MPL,0.43,75MG ACID oral,Once or twice daily,Indefinite (lifelong maintenance)
Empagliflozin,JARDIANCE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,3.62,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Empagliflozin; Linagliptin,GLYXAMBI,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | DPP4,0.02,25MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Empagliflozin; Linagliptin; Metformin Hydrochloride,TRIJARDY XR,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | DPP4 | MT-ND6 | GPD2,,25MG; 5MG … oral,Once daily,Indefinite (lifelong maintenance)
Empagliflozin; Metformin Hydrochloride,SYNJARDY,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | MT-ND6 | GPD2,0.14,12.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Emtricitabine,EMTRICITABINE,HIV infection,Infectious – HIV,chemical,pol,0.00,10MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Emtricitabine; Rilpivirine Hydrochloride; Tenofovir Alafenamide Fumarate,ODEFSEY,HIV infection,Infectious – HIV,chemical,pol,0.53,200MG; 25MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance)
Emtricitabine; Rilpivirine Hydrochloride; Tenofovir Disoproxil Fumarate,COMPLERA,HIV infection,Infectious – HIV,chemical,pol,0.05,200MG; 25MG BASE … oral,Once or twice daily,Indefinite (lifelong maintenance)
Emtricitabine; Tenofovir Alafenamide Fumarate,DESCOVY,HIV infection,Infectious – HIV,chemical,pol,1.03,200MG; 25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Emtricitabine; Tenofovir Disoproxil Fumarate,TRUVADA,HIV infection,Infectious – HIV,chemical,pol,0.04,200MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Enalapril Maleate,ENALAPRIL MALEATE,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,ACE,0.04,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Enalapril Maleate; Hydrochlorothiazide,VASERETIC,Hypertension,Cardiovascular – Hypertension,chemical,ACE | SLC12A3,,10MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Enasidenib Mesylate,IDHIFA,Acute myeloid leukemia,Oncology – Hematologic,chemical,IDH2,0.01,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Encorafenib,BRAFTOVI,Non-small cell lung cancer; Melanoma,Oncology – Solid Tumor,chemical,BRAF,0.03,75MG oral,Once or twice daily,Long-term (until progression / disease control)
Ensartinib Hydrochloride,ENSACOVE,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,ALK,,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Entacapone,COMTAN,Parkinson's disease,Neurology – Movement Disorder,chemical,COMT,0.00,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Entecavir,BARACLUDE,Hepatitis B,Infectious – Hepatitis,chemical,P,0.02,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Entrectinib,ROZLYTREK,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,NTRK1 | ROS1 | ALK,0.01,50MG/PACKET oral,As directed,Long-term (until progression / disease control)
Enzalutamide,ENZALUTAMIDE,Prostate cancer,Oncology – Solid Tumor,chemical,AR,0.28,80MG oral,Once or twice daily,Long-term (until progression / disease control)
Eplerenone,EPLERENONE,Heart failure; Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,NR3C2,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Epoprostenol Sodium,EPOPROSTENOL SODIUM,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,PTGIR,0.01,1.5MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Erdafitinib,BALVERSA,Bladder / urothelial cancer,Oncology – Solid Tumor,chemical,FGFR3,0.00,5MG oral,Once or twice daily,Long-term (until progression / disease control)
Eribulin Mesylate,ERIBULIN MESYLATE,Breast cancer,Oncology – Solid Tumor,chemical,TUBB4B,0.01,1MG/2ML (0.5MG/mL) IV,As directed,Long-term (until progression / disease control)
Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.00,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Ertugliflozin,STEGLATRO,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,0.31,15MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ertugliflozin; Metformin Hydrochloride,SEGLUROMET,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | MT-ND6 | GPD2,0.02,7.5MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ertugliflozin; Sitagliptin Phosphate,STEGLUJAN,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | DPP4,0.00,15MG; 100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Escitalopram Oxalate,ESCITALOPRAM,Major depressive disorder; Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4,0.01,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Eslicarbazepine Acetate,APTIOM,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.25,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Esmolol Hydrochloride,BREVIBLOC,Atrial fibrillation; Hypertension; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,ADRB1 | ADRB2,0.00,2.5GM/250ML (10MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.09,20MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Esomeprazole Magnesium; Naproxen,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,Peptic ulcer disease; Rheumatoid arthritis; Ankylosing spondylitis; Osteoarthritis,Gastroenterology – Acid-Related,chemical,ATP4A | PTGS2,,20MG BASE; 375MG oral,Once daily,Indefinite (lifelong maintenance)
Esomeprazole Sodium,ESOMEPRAZOLE SODIUM,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,,40MG BASE/VIAL IV,As directed,Indefinite (lifelong maintenance)
Estradiol,CLIMARA,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,0.12,10MCG,As directed,Indefinite (lifelong maintenance)
Estradiol Acetate,FEMRING,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,0.00,0.1MG BASE/24HR,Once daily,Indefinite (lifelong maintenance)
Estradiol Cypionate,DEPO-ESTRADIOL,Hypogonadism; Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,ESR1,,5MG/mL,As directed,Indefinite (lifelong maintenance)
Estradiol Valerate,DELESTROGEN,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1,,20MG/mL,As directed,Indefinite (lifelong maintenance)
Estradiol; Levonorgestrel,CLIMARA PRO,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,ESR1 | PGR,,0.045MG/24HR; 0.015MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Estradiol; Norethindrone Acetate,ACTIVELLA,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.01,1MG; 0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Estradiol; Norethindrone Acetate; Relugolix,MYFEMBREE,Chronic pain; Endometriosis; Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,ESR1 | PGR | GNRHR,0.04,1MG; 0.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Estradiol; Progesterone,BIJUVA,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.00,1MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
"Estrogens, Conjugated",CONJUGATED ESTROGENS,Breast cancer; Hypogonadism; Menopausal / hormone therapy,Endocrinology – Reproductive,mixture,ESR2,0.14,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
"Estrogens, Conjugated; Medroxyprogesterone Acetate",PREMPRO,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,mixture,ESR2 | PGR,0.04,0.625MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Etelcalcetide,PARSABIV,Secondary hyperparathyroidism; Chronic kidney disease,Nephrology,chemical,CASR,,10MG/2ML IV,As directed,Indefinite (lifelong maintenance)
Ethacrynic Acid,EDECRIN,Heart failure,Cardiovascular – Heart Failure,chemical,SLC12A1,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Ethynodiol Diacetate,KELNOR,Contraception,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.02,0.035MG; 1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Etonogestrel,ELURYNG,Contraception,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.12,0.015MG/24HR; 0.12MG/24HR,As directed,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Levonorgestrel,AFIRMELLE,Contraception,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.07,0.02MG; 0.1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Norelgestromin,ONSURA,Metabolic disorder,Endocrinology – Metabolic,mixture,ESR1 | PGR,0.14,0.035MG/24HR; 0.15MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Norethindrone,ARANELLE,Contraception,Endocrinology – Reproductive,chemical,ESR1 | PGR,0.00,"0.035MG,0.035MG,0.035MG; 0.5MG,1MG,0.5MG oral",Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Norethindrone Acetate,AUROVELA 24 FE,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1 | PGR,0.00,"0.01MG,0.01MG; 1MG,N/A oral",Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Norgestimate,ESTARYLLA,Acne,Endocrinology – Metabolic,mixture,ESR1 | PGR,0.02,0.035MG; 0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Norgestrel,CRYSELLE,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1 | PGR,0.00,0.03MG; 0.3MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ethinyl Estradiol; Segesterone Acetate,ANNOVERA,Metabolic disorder,Endocrinology – Metabolic,chemical,ESR1 | PGR,0.02,0.013MG/24HR; 0.15MG/24HR,As directed,Indefinite (lifelong maintenance)
Ethosuximide,ETHOSUXIMIDE,Epilepsy / seizures,Neurology – Epilepsy,chemical,CACNA1H,0.00,250MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Everolimus,AFINITOR,Breast cancer; Menopausal / hormone therapy,Autoimmune – Rheumatology,chemical,FKBP1A,0.25,1MG oral,Once or twice daily,Long-term (until progression / disease control)
Exemestane,AROMASIN,Breast cancer; Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,CYP19A1,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Exenatide Synthetic,EXENATIDE SYNTHETIC,Type 2 diabetes,Endocrinology – Diabetes,protein,GLP1R,,300MCG/1.2ML SC,Weekly or as directed,Indefinite (lifelong maintenance)
Ezetimibe,EZETIMIBE,Hypercholesterolemia,Endocrinology – Lipid,chemical,NPC1L1,0.03,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ezetimibe; Simvastatin,EZETIMIBE AND SIMVASTATIN,Dyslipidemia; CV risk reduction,Endocrinology – Lipid,chemical,NPC1L1 | HMGCR,,10MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Famotidine,FAMOTIDINE,GERD; Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,0.31,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Famotidine; Ibuprofen,IBUPROFEN AND FAMOTIDINE,Peptic ulcer disease; Rheumatoid arthritis; Osteoarthritis,Gastroenterology – Acid-Related,chemical,HRH2 | PTGS2,,26.6MG; 800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Febuxostat,FEBUXOSTAT,Gout; Hyperuricemia,Metabolic – Gout,chemical,XDH,0.00,80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fedratinib Hydrochloride,INREBIC,Myelofibrosis,Oncology – Hematologic,chemical,JAK2 | FLT3,0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Felbamate,FELBAMATE,Anemia; Epilepsy / seizures,Neurology – Epilepsy,chemical,GRIN1,0.03,600MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Felodipine,FELODIPINE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,NR3C2 | CACNA1C,0.00,2.5MG oral,Once daily,Indefinite (lifelong maintenance)
Fenofibrate,ANTARA (MICRONIZED),Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,Endocrinology – Lipid,chemical,PPARA,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fentanyl,FENTANYL-100,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRM1,0.46,100MCG/HR transdermal,Once daily,Indefinite (lifelong maintenance)
Fentanyl Citrate,FENTANYL CITRATE,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRM1,,0.05MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Ferric Carboxymaltose,INJECTAFER,Anemia; Heart failure; Chronic kidney disease,Hematology – Anemia,polymer,Supplement,0.09,500MG IRON/10ML (50MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance)
Ferric Citrate,AURYXIA,Metabolic disorder,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.04,210MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Ferric Derisomaltose,MONOFERRIC,Anemia; Chronic kidney disease,Hematology – Anemia,polymer,Supplement,0.02,1GM/10ML (100MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Ferric Hexacyanoferrate(ii),RADIOGARDASE (PRUSSIAN BLUE),Metabolic disorder,Endocrinology – Metabolic,chemical,Radioactive metals chelating agent,,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ferric Maltol,ACCRUFER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.01,30MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Ferric Oxyhydroxide,VELPHORO,Chronic kidney disease,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.09,500MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance)
Fesoterodine Fumarate,FESOTERODINE FUMARATE,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,0.03,8MG oral,Once daily,Indefinite (lifelong maintenance)
Finasteride,FINASTERIDE,Metabolic disorder,Endocrinology – Metabolic,chemical,SRD5A2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Finasteride; Tadalafil,FINASTERIDE AND TADALAFIL,Metabolic disorder,Endocrinology – Metabolic,chemical,SRD5A2 | PDE5A,,5MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Finerenone,KERENDIA,Type 2 diabetes; Heart failure; Myocardial infarction (risk reduction); Chronic kidney disease,Cardiovascular – Heart Failure,chemical,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fingolimod Hydrochloride,FINGOLIMOD HYDROCHLORIDE,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR5,0.19,0.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Fingolimod Lauryl Sulfate,TASCENSO ODT,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR5,,0.5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Flecainide Acetate,FLECAINIDE ACETATE,Atrial fibrillation; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,SCN5A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fludarabine Phosphate,FLUDARABINE PHOSPHATE,Chronic lymphocytic leukemia,Endocrinology – Metabolic,chemical,RRM1 | POLA1,,50MG/VIAL,As directed,Indefinite (lifelong maintenance)
Fluocinolone Acetonide,DERMOTIC,Skin disorder,Dermatology – General,chemical,NR3C1,0.01,0.01% topical,As directed,Indefinite (lifelong maintenance)
Fluocinolone Acetonide; Hydroquinone; Tretinoin,TRI-LUMA,Acne; Psoriasis; Photoageing,Autoimmune – Dermatology,chemical,NR3C1 | RARG,,0.01%; 4% … topical,Once or twice daily,Indefinite (lifelong maintenance)
Fluocinolone Acetonide; Neomycin Sulfate,NEO-SYNALAR,Skin disorder,Dermatology – General,mixture,NR3C1 | rpsB,,0.025%; 3.5MG BASE/GM topical,Once or twice daily,Indefinite (lifelong maintenance)
Fluocinonide,FLUOCINONIDE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Fluoroestradiol F-18,CERIANNA,Breast cancer,Endocrinology – Metabolic,chemical,Diagnostic agent,,50ML (4-100mCi/mL) IV,As directed,Indefinite (lifelong maintenance)
Fluorouracil,CARAC,Basal cell carcinoma,Oncology – Solid Tumor,chemical,TYMS,0.00,2% topical,As directed,Long-term (until progression / disease control)
Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Major depressive disorder; Obsessive-compulsive disorder; Panic disorder; Nausea / vomiting,Psychiatry – Mood,chemical,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Major depressive disorder; Obsessive-compulsive disorder; Panic disorder; Nausea / vomiting,Psychiatry – Mood,chemical,SLC6A4 | HTR2A | HTR2C | DRD2,,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Fluphenazine Decanoate,FLUPHENAZINE DECANOATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatry – Psychotic,chemical,DRD2,,25MG/mL,As directed,Indefinite (lifelong maintenance)
Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatry – Psychotic,chemical,DRD2,,5MG/mL oral,As directed,Indefinite (lifelong maintenance)
Flurandrenolide,CORDRAN,Skin disorder,Dermatology – General,chemical,NR3C1,,0.004MG/SQ CM topical,As directed,Indefinite (lifelong maintenance)
Flutamide,FLUTAMIDE,Benign prostatic hyperplasia,Oncology – Solid Tumor,chemical,AR,,125MG oral,Once or twice daily,Long-term (until progression / disease control)
Fluticasone Furoate,ARNUITY ELLIPTA,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,,0.0275MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate,TRELEGY ELLIPTA,Asthma; COPD,Respiratory – Obstructive,chemical,NR3C1 | CHRM3 | ADRB2,,0.2MG//inh; 0.0625MG BASE//inh … inh,Once daily,Indefinite (lifelong maintenance)
Fluticasone Furoate; Vilanterol Trifenatate,BREO ELLIPTA,Asthma; COPD,Respiratory – Obstructive,chemical,NR3C1 | ADRB2,,0.2MG//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
