Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Ethosuximide,openfda.generic_name=Ethosuximide,openFDA label,1,Epilepsy / seizures,INDICATIONS AND USAGE Zarontin is indicated for the control of absence (petit mal) epilepsy.
Everolimus,openfda.generic_name=Everolimus,openFDA label,2,Breast cancer; Menopausal / hormone therapy,"1. INDICATIONS AND USAGE Everolimus tablets are a kinase inhibitor indicated for the treatment of: Postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer in combination with exemestane after failure of treatment with letrozole or anastrozole. Adults with progressive neuroendocrine tumors of pancreatic origin (PNET) and adults with progressive, well-differentiated, non-functional neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin that are unresectable, locally advanced or metastatic. Limitations of Use: Everolimus tablets are not indicated for"
Exemestane,openfda.generic_name=Exemestane,openFDA label,2,Breast cancer; Menopausal / hormone therapy,Exemestane tablets are an aromatase inhibitor indicated for: adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen and are switched to exemestane tablets for completion of a total of five consecutive years of adjuvant hormonal therapy . treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy . 1.1 Adjuvant Treatment of Postmenopausal Women Exemestane tablets are indicated for adjuvant treatment of postmenopausal women with estrogen-receptor pos
Ezetimibe,openfda.generic_name=Ezetimibe,openFDA label,0,,"Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. Ezetimibe and simvastatin tablets, which contain a cholesterol absorption inhibitor and an HMG-CoA reductase inhibitor (statin), are indicated as adjunctive therapy to diet to: • reduce elevated total-C,"
Ezetimibe; Simvastatin,openfda.brand_name=EZETIMIBE AND SIMVASTATIN,openFDA label,0,,"Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. Ezetimibe and simvastatin tablets, which contain a cholesterol absorption inhibitor and an HMG-CoA reductase inhibitor (statin), are indicated as adjunctive therapy to diet to: • reduce elevated total-C,"
Famotidine,openfda.generic_name=Famotidine,openFDA label,2,GERD; Peptic ulcer disease,"Famotidine tablets are indicated in adult and pediatric patients 40 kg and greater for the treatment of: • active duodenal ulcer (DU). • active gastric ulcer (GU). • symptomatic nonerosive gastroesophageal reflux disease (GERD). • erosive esophagitis due to GERD, diagnosed by biopsy. Famotidine tablets are indicated in adults for the: • treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison syndrome, multiple endocrine neoplasias). • reduction of the risk of duodenal ulcer recurrence. Famotidine tablets are a histamine-2 (H 2 ) receptor antagonist indicated : In adult and"
Famotidine; Ibuprofen,openfda.brand_name=IBUPROFEN AND FAMOTIDINE,openFDA label,3,Peptic ulcer disease; Rheumatoid arthritis; Osteoarthritis,"Ibuprofen and famotidine tablet, a combination of the NSAID ibuprofen and the histamine H 2 -receptor antagonist famotidine, is indicated for the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis and to decrease the risk of developing upper gastrointestinal ulcers, which in the clinical trials was defined as a gastric and/or duodenal ulcer, in patients who are taking ibuprofen for those indications. The clinical trials primarily enrolled patients less than 65 years of age without a prior history of gastrointestinal ulcer. Controlled trials do not extend beyond 6 months . "
Febuxostat,openfda.generic_name=Febuxostat,openFDA label,2,Gout; Hyperuricemia,"Febuxostat is a xanthine oxidase (XO) inhibitor indicated for the chronic management of hyperuricemia in adult patients with gout who have an inadequate response to a maximally titrated dose of allopurinol, who are intolerant to allopurinol, or for whom treatment with allopurinol is not advisable. Limitations of Use : Febuxostat tablets are not recommended for the treatment of asymptomatic hyperuricemia. Febuxostat is a xanthine oxidase (XO) inhibitor indicated for the chronic management of hyperuricemia in adult patients with gout who have an inadequate response to a maximally titrated dose o"
Fedratinib Hydrochloride,openfda.generic_name=Fedratinib,openFDA label,1,Myelofibrosis,INREBIC ® is indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis (MF). INREBIC is a kinase inhibitor indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis (MF) .
Felbamate,openfda.generic_name=Felbamate,openFDA label,2,Anemia; Epilepsy / seizures,"INDICATIONS AND USAGE Felbamate oral suspension, USP is not indicated as a first line antiepileptic treatment (see Warnings ). Felbamate oral suspension is recommended for use only in those patients who respond inadequately to alternative treatments and whose epilepsy is so severe that a substantial risk of aplastic anemia and/or liver failure is deemed acceptable in light of the benefits conferred by its use. If these criteria are met and the patient has been fully advised of the risk, and has provided written acknowledgement, felbamate can be considered for either monotherapy or adjunctive t"
Felodipine,openfda.generic_name=Felodipine,openFDA label,2,Hypertension; Myocardial infarction (risk reduction),"INDICATIONS AND USAGE Felodipine extended-release tablets, USP are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including felodipine. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoki"
Fenofibrate,openfda.generic_name=Fenofibrate,openFDA label,2,Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,"Fenofibrate tablet USP is a peroxisome proliferator-activated receptor (PPAR) alpha agonist indicated as an adjunct to diet: To reduce elevated LDL-C, Total-C, TG and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia . For treatment of adult patients with severe hypertriglyceridemia . Limitations of Use: Fenofibrate was not shown to reduce coronary heart disease morbidity and mortality in patients with type 2 diabetes mellitus . 1.1 Primary Hypercholesterolemia or Mixed Dyslipidemia Fenofibrate tablet USP is indicated as adjunctive therapy t"
Fentanyl,openfda.generic_name=Fentanyl,openFDA label,0,,"Fentanyl Citrate Injection is indicated for: • analgesic action of short duration during the anesthetic periods, premedication, induction and maintenance, and in the immediate postoperative period (recovery room) as the need arises. • use as a narcotic analgesic supplement in general or regional anesthesia. • administration with a neuroleptic as an anesthetic premedication, for the induction of anesthesia and as an adjunct in the maintenance of general and regional anesthesia. • use as an anesthetic agent with oxygen in selected high-risk patients, such as those undergoing open heart surgery o"
Fentanyl Citrate,openfda.generic_name=Fentanyl,openFDA label,0,,"Fentanyl Citrate Injection is indicated for: • analgesic action of short duration during the anesthetic periods, premedication, induction and maintenance, and in the immediate postoperative period (recovery room) as the need arises. • use as a narcotic analgesic supplement in general or regional anesthesia. • administration with a neuroleptic as an anesthetic premedication, for the induction of anesthesia and as an adjunct in the maintenance of general and regional anesthesia. • use as an anesthetic agent with oxygen in selected high-risk patients, such as those undergoing open heart surgery o"
Ferric Carboxymaltose,openfda.generic_name=Ferric Carboxymaltose,openFDA label,3,Anemia; Heart failure; Chronic kidney disease,Injectafer is indicated for the treatment of: • iron deficiency anemia (IDA) in: adult and pediatric patients 1 year of age and older who have either intolerance or an unsatisfactory response to oral iron. adult patients who have non-dialysis dependent chronic kidney disease. • iron deficiency in adult patients with heart failure and New York Heart Association class II/III to improve exercise capacity. Injectafer is an iron replacement product indicated for the treatment of: • iron deficiency anemia (IDA) in: adult and pediatric patients 1 year of age and older who have either intolerance or a
Ferric Citrate,openfda.generic_name=Ferric,openFDA label,0,,"Uses For temporary relief of pain and itching associated with: minor burns sunburn minor cuts scrapes insect bites minor skin irritations rashes due to poison ivy, poison oak, or poison sumac Dries the oozing and weeping of poison: ivy oak sumac"
Ferric Derisomaltose,openfda.generic_name=Ferric Derisomaltose,openFDA label,2,Anemia; Chronic kidney disease,Monoferric is indicated for the treatment of iron deficiency anemia (IDA) in adult patients: who have intolerance to oral iron or have had unsatisfactory response to oral iron who have non-hemodialysis dependent chronic kidney disease (NDD-CKD) MONOFERRIC is an iron replacement product indicated for the treatment of iron deficiency anemia in adult patients: who have intolerance to oral iron or have had unsatisfactory response to oral iron. who have non-hemodialysis dependent chronic kidney disease.
Ferric Hexacyanoferrate(ii),,not found,0,,
Ferric Maltol,openfda.generic_name=Ferric Maltol,openFDA label,0,,ACCRUFER is indicated for the treatment of iron deficiency in adult and pediatric patients 10 years of age and older. ACCRUFER is an iron replacement product indicated for the treatment of iron deficiency in adult and pediatric patients 10 years of age and older.
Ferric Oxyhydroxide,openfda.substance_name=Ferric Oxyhydroxide,openFDA label,1,Chronic kidney disease,Velphoro is indicated for the control of serum phosphorus levels in adults and pediatric patients 9 years of age and older with chronic kidney disease (CKD) on dialysis. Velphoro is a phosphate binder indicated for the control of serum phosphorus levels in adult and pediatric patients 9 years of age and older with chronic kidney disease on dialysis.
Fesoterodine Fumarate,openfda.generic_name=Fesoterodine,openFDA label,1,Overactive bladder,"Fesoterodine fumarate extended-release tablets are indicated for the treatment of: Overactive bladder (OAB) in adults with symptoms of urge urinary incontinence, urgency, and frequency. 1.1 Adult Overactive Bladder Fesoterodine fumarate extended-release tablets are indicated for the treatment of overactive bladder (OAB) in adults with symptoms of urge urinary incontinence, urgency, and frequency. Pediatric use information is approved for Pfizer Inc.’s TOVIAZ ® (fesoterodine fumarate) extended-release tablets. However, due to Pfizer Inc.’s marketing exclusivity rights, this drug product is not "
Finasteride,openfda.generic_name=Finasteride,openFDA label,0,,"1 INDICATIONS & USAGE Finasteride tablets USP are indicated for the treatment of male pattern hair loss (androgenetic alopecia) in MEN ONLY. Efficacy in bitemporal recession has not been established. Finasteride tablets USP are not indicated for use in women. • Finasteride tablets USP are 5α-reductase inhibitors indicated for the treatment of male pattern hair loss (androgenetic alopecia) in MEN ONLY . • Finasteride tablets USP are not indicated for use in women ( 1 , 4 , 5.1 )."
Finasteride; Tadalafil,openfda.generic_name=Finasteride,openFDA label,0,,"1 INDICATIONS & USAGE Finasteride tablets USP are indicated for the treatment of male pattern hair loss (androgenetic alopecia) in MEN ONLY. Efficacy in bitemporal recession has not been established. Finasteride tablets USP are not indicated for use in women. • Finasteride tablets USP are 5α-reductase inhibitors indicated for the treatment of male pattern hair loss (androgenetic alopecia) in MEN ONLY . • Finasteride tablets USP are not indicated for use in women ( 1 , 4 , 5.1 )."
Finerenone,openfda.generic_name=Finerenone,openFDA label,4,Type 2 diabetes; Heart failure; Myocardial infarction (risk reduction); Chronic kidney disease,"Kerendia is indicated to reduce the risk of: sustained estimated glomerular filtration rate (eGFR) decline, end-stage kidney disease, cardiovascular death, non-fatal myocardial infarction, and hospitalization for heart failure in adult patients with chronic kidney disease (CKD) associated with type 2 diabetes (T2DM). cardiovascular death, hospitalization for heart failure, and urgent heart failure visits in adult patients with heart failure with left ventricular ejection fraction (LVEF) ≥ 40%. Kerendia is a non-steroidal mineralocorticoid receptor antagonist (nsMRA) indicated to reduce the ris"
Fingolimod Hydrochloride,openfda.generic_name=Fingolimod,openFDA label,1,Multiple sclerosis,"Fingolimod capsules are indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in patients 10 years of age and older. Fingolimod capsules are a sphingosine 1-phosphate receptor modulator indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in patients 10 years of age and older."
Fingolimod Lauryl Sulfate,openfda.generic_name=Fingolimod Lauryl,openFDA label,1,Multiple sclerosis,"TASCENSO ODT is indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in patients 10 years of age and older. TASCENSO ODT is a sphingosine 1-phosphate receptor modulator indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in patients 10 years of age and older."
Flecainide Acetate,openfda.generic_name=Flecainide,openFDA label,2,Atrial fibrillation; Cardiac arrhythmia,"INDICATIONS AND USAGE In patients without structural heart disease, flecainide acetate tablets, USP are indicated for the prevention of — paroxysmal supraventricular tachycardias (PSVT), including atrioventricular nodal reentrant tachycardia, atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disabling symptoms — paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms Flecainide acetate tablets, USP are also indicated for the prevention of — documented ventricular arrhythmias, such as sustained ventric"
Fludarabine Phosphate,openfda.generic_name=Fludarabine,openFDA label,1,Chronic lymphocytic leukemia,Fludarabine Phosphate Injection is a nucleotide metabolic inhibitor indicated for: The treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen. Benefit in treatment-naïve or non-refractory CLL patients is not established. 1.1 Indication Fludarabine Phosphate Injection is indicated for the treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment wit
Fluocinolone Acetonide,openfda.generic_name=Fluocinolone Acetonide,openFDA label,0,,INDICATIONS AND USAGE Fluocinolone Acetonide Topical Solution is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
Fluocinolone Acetonide; Hydroquinone; Tretinoin,openfda.brand_name=TRI-LUMA,openFDA label,0,,"TRI-LUMA Cream is a combination of fluocinolone acetonide (a corticosteroid), hydroquinone (a melanin synthesis inhibitor), and tretinoin (a retinoid) that is indicated for the short-term treatment of moderate to severe melasma of the face, in the presence of measures for sun avoidance, including the use of sunscreens. 1.1 Indication TRI-LUMA Cream is a combination of fluocinolone acetonide (a corticosteroid), hydroquinone (a melanin synthesis inhibitor), and tretinoin (a retinoid) that is indicated for the short-term treatment of moderate to severe melasma of the face, in the presence of meas"
Fluocinolone Acetonide; Neomycin Sulfate,openfda.brand_name=NEO-SYNALAR,openFDA label,0,,INDICATIONS AND USAGE NEO-SYNALAR ® cream is indicated for the treatment of corticosteroid-responsive dermatoses with secondary infection. It has not been demonstrated that this steroid-antibiotic combination provides greater benefit than the steroid component alone after 7 days of treatment (see WARNINGS section) .
Fluocinonide,,not found,0,,
Fluoroestradiol F-18,openfda.generic_name=Fluoroestradiol F-18,openFDA label,1,Breast cancer,CERIANNA is indicated for use with positron emission tomography (PET) imaging for the detection of estrogen receptor (ER)-positive lesions as an adjunct to biopsy in patients with recurrent or metastatic breast cancer. CERIANNA is a radioactive diagnostic agent indicated for use with positron emission tomography (PET) imaging for the detection of estrogen receptor (ER)-positive lesions as an adjunct to biopsy in patients with recurrent or metastatic breast cancer. Limitations of Use Tissue biopsy should be used to confirm recurrence of breast cancer and to verify ER status by pathology. CERIAN
Fluorouracil,openfda.generic_name=Fluorouracil,openFDA label,1,Basal cell carcinoma,"INDICATIONS AND USAGE Fluorouracil Cream is recommended for the topical treatment of multiple actinic or solar keratoses. In the 5% strength, it is also useful in the treatment of superficial basal cell carcinomas when conventional methods are impractical, such as with multiple lesions or difficult treatment sites. Safety and efficacy in other indications have not been established. The diagnosis should be established prior to treatment, since this method has not been proven effective in other types of basal cell carcinomas. With isolated, easily accessible basal cell carcinomas, surgery is pre"
Fluoxetine Hydrochloride,openfda.generic_name=Fluoxetine,openFDA label,4,Major depressive disorder; Obsessive-compulsive disorder; Panic disorder; Nausea / vomiting,"Fluoxetine is indicated for the treatment of: Acute and maintenance treatment of Major Depressive Disorder . Acute and maintenance treatment of obsessions and compulsions in patients with Obsessive Compulsive Disorder (OCD) . Acute and maintenance treatment of binge-eating and vomiting behaviors in patients with moderate to severe Bulimia Nervosa . Acute treatment of Panic Disorder, with or without agoraphobia . Fluoxetine and Olanzapine in Combination is indicated for the treatment of: Acute treatment of depressive episodes associated with Bipolar I Disorder. Fluoxetine monotherapy is not ind"
Fluoxetine Hydrochloride; Olanzapine,openfda.generic_name=Fluoxetine,openFDA label,4,Major depressive disorder; Obsessive-compulsive disorder; Panic disorder; Nausea / vomiting,"Fluoxetine is indicated for the treatment of: Acute and maintenance treatment of Major Depressive Disorder . Acute and maintenance treatment of obsessions and compulsions in patients with Obsessive Compulsive Disorder (OCD) . Acute and maintenance treatment of binge-eating and vomiting behaviors in patients with moderate to severe Bulimia Nervosa . Acute treatment of Panic Disorder, with or without agoraphobia . Fluoxetine and Olanzapine in Combination is indicated for the treatment of: Acute treatment of depressive episodes associated with Bipolar I Disorder. Fluoxetine monotherapy is not ind"
Fluphenazine Decanoate,openfda.generic_name=Fluphenazine Decanoate,openFDA label,0,,"INDICATIONS AND USAGE: Fluphenazine Decanoate Injection is a long-acting parenteral antipsychotic drug intended for use in the management of patients requiring prolonged parenteral neuroleptic therapy (e.g., chronic schizophrenics). Fluphenazine Decanoate Injection has not been shown effective in the management of behavioral complications in patients with mental retardation."
Fluphenazine Hydrochloride,openfda.generic_name=Fluphenazine,openFDA label,0,,"INDICATIONS AND USAGE: Fluphenazine Decanoate Injection is a long-acting parenteral antipsychotic drug intended for use in the management of patients requiring prolonged parenteral neuroleptic therapy (e.g., chronic schizophrenics). Fluphenazine Decanoate Injection has not been shown effective in the management of behavioral complications in patients with mental retardation."
Flurandrenolide,openfda.generic_name=Flurandrenolide,openFDA label,0,,"INDICATIONS AND USAGE Flurandrenolide Lotion USP, 0.05% is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses."
Flutamide,openfda.generic_name=Flutamide,openFDA label,1,Benign prostatic hyperplasia,"INDICATIONS AND USAGE Eulexin ® capsules are indicated for use in combination with LHRH-agonists for the management of locally confined Stage B 2 -C and Stage D 2 metastatic carcinoma of the prostate. Stage B 2 -C Prostatic Carcinoma Treatment with Eulexin ® capsules and the goserelin acetate implant should start eight weeks prior to initiating radiation therapy and continue during radiation therapy. Stage D 2 Metastatic Carcinoma To achieve benefit from treatment, Eulexin ® capsules should be initiated with the LHRH-agonist and continued until progression."
Fluticasone Furoate,openfda.generic_name=Fluticasone,openFDA label,1,Allergic rhinitis,"Uses Temporarily relieves these symptoms of hay fever or other upper respiratory allergies: nasal congestion itchy, watery eyes itchy nose runny nose sneezing"
Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate,openfda.brand_name=TRELEGY ELLIPTA,openFDA label,2,Asthma; COPD,"TRELEGY ELLIPTA is a combination of fluticasone furoate, an inhaled corticosteroid (ICS); umeclidinium, an anticholinergic; and vilanterol, a long-acting beta 2 -adrenergic agonist (LABA), indicated for: • the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). • the maintenance treatment of asthma in patients aged 18 years and older. Limitations of Use: Not indicated for relief of acute bronchospasm. ( 1.3 , 5.2 ) 1.1 Maintenance Treatment of Chronic Obstructive Pulmonary Disease TRELEGY ELLIPTA is indicated for the maintenance treatment of patients with chron"
Fluticasone Furoate; Vilanterol Trifenatate,openfda.brand_name=BREO ELLIPTA,openFDA label,2,Asthma; COPD,"BREO ELLIPTA is a combination of fluticasone furoate, a corticosteroid, and vilanterol, a long-acting beta 2 -adrenergic agonist (LABA), indicated for: • the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). • the maintenance treatment of asthma in patients aged 5 years and older. Limitations of Use: Not indicated for relief of acute bronchospasm. ( 1.3 , 5.2 ) 1.1 Maintenance Treatment of Chronic Obstructive Pulmonary Disease BREO ELLIPTA is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). 1.2 Maintenance"
Fluticasone Propionate,openfda.generic_name=Fluticasone,openFDA label,1,Allergic rhinitis,"Uses Temporarily relieves these symptoms of hay fever or other upper respiratory allergies: nasal congestion itchy, watery eyes itchy nose runny nose sneezing"
Fluticasone Propionate; Salmeterol Xinafoate,openfda.brand_name=ADVAIR HFA,openFDA label,1,Asthma,"ADVAIR HFA is indicated for treatment of asthma in adult and adolescent patients aged 12 years and older. ADVAIR HFA should be used for patients not adequately controlled on a long-term asthma control medication such as an inhaled corticosteroid (ICS) or whose disease warrants initiation of treatment with both an ICS and long-acting beta 2 -adrenergic agonist (LABA). Limitations of Use ADVAIR HFA is not indicated for the relief of acute bronchospasm. ADVAIR HFA is a combination of fluticasone propionate, an inhaled corticosteroid, and salmeterol, a long-acting beta 2 ‑adrenergic agonist (LABA)"
Fluvastatin Sodium,openfda.generic_name=Fluvastatin,openFDA label,1,Dyslipidemia / hypercholesterolemia,"Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other non-pharmacologic measures alone has been inadequate. Fluvastatin capsules are an HMG-CoA reductase inhibitor (statin) indicated as an adjunctive therapy to diet to: Reduce elevated TC, LDL-C, Apo B, and TG, and to increase HDL-C in adult patients with pri"
Fluvoxamine Maleate,openfda.generic_name=Fluvoxamine,openFDA label,1,Obsessive-compulsive disorder,"Fluvoxamine maleate extended-release capsules is a selective serotonin reuptake inhibitor (SSRI) indicated for the treatment of obsessive compulsive disorder (OCD) . Efficacy was demonstrated in: One 12-week study fluvoxamine maleate extended-release capsules in adults . Two 10-week studies with immediate-release (IR) fluvoxamine tablets in adults and one 10-week study with IR fluvoxamine tablets in children and adolescents ( 14.1 , 14.3 ). One maintenance study with IR fluvoxamine tablets . 1.1 Obsessive Compulsive Disorder Fluvoxamine maleate extended-release capsules are indicated for the t"
Folic Acid,openfda.generic_name=Folic Acid,openFDA label,1,Anemia,"INDICATIONS: Integra FTM is indicated for the treatment of iron deficiency anemia, and folate deficiency anemia. Integra FTM is indicated in pregnancy for the prevention and treatment of iron deficiency and to supply a maintenance dosage of folic acid."
Formoterol Fumarate,openfda.generic_name=Formoterol,openFDA label,2,COPD; Bronchospasm,"Formoterol fumarate inhalation solution is a long-acting beta 2 -adrenergic agonist (beta 2 -agonist) indicated for: Long-term, twice daily (morning and evening) administration in the maintenance treatment of bronchoconstriction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. Important limitations of use: Formoterol fumarate inhalation solution is not indicated to treat acute deteriorations of chronic obstructive pulmonary disease. ( 1.2 , 5.2 ) Formoterol fumarate inhalation solution is not indicated to treat asthma. 1.1 Maintenance T"
Formoterol Fumarate; Glycopyrrolate,openfda.brand_name=BEVESPI AEROSPHERE,openFDA label,1,COPD,"BEVESPI AEROSPHERE is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations of Use: BEVESPI AEROSPHERE is not indicated for the relief of acute bronchospasm or for the treatment of asthma . BEVESPI AEROSPHERE is a combination of glycopyrrolate, an anticholinergic, and formoterol fumarate, a long-acting beta 2 -adrenergic agonist (LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations of Use : Not indicated for the relief of acute bronchospasm or for the treatment of as"
Formoterol Fumarate; Mometasone Furoate,openfda.brand_name=DULERA,openFDA label,1,Asthma,DULERA is a combination product containing a corticosteroid and a long-acting beta 2 -adrenergic agonist (LABA) indicated for: Treatment of asthma in patients 5 years of age and older. Important Limitation of Use: Not indicated for the relief of acute bronchospasm. 1.1 Treatment of Asthma DULERA is indicated for the twice-daily treatment of asthma in patients 5 years of age and older. DULERA should be used for patients not adequately controlled on a long-term asthma-control medication such as an inhaled corticosteroid (ICS) or whose disease warrants initiation of treatment with both an ICS and
Fosamprenavir Calcium,openfda.generic_name=Fosamprenavir,openFDA label,1,HIV infection,Fosamprenavir calcium tablets are indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus (HIV-1) infection. The following points should be considered when initiating therapy with fosamprenavir plus ritonavir in protease inhibitor-experienced patients: • The protease inhibitor-experienced patient trial was not large enough to reach a definitive conclusion that fosamprenavir plus ritonavir and lopinavir plus ritonavir are clinically equivalent . • Once-daily administration of fosamprenavir plus ritonavir is not recommended for adult protease i
Foscarbidopa; Foslevodopa,openfda.brand_name=VYALEV,openFDA label,1,Parkinson's disease,VYALEV is indicated for the treatment of motor fluctuations in adults with advanced Parkinson’s disease (PD). VYALEV is a combination of foscarbidopa (an aromatic amino acid decarboxylation inhibitor) and foslevodopa (an aromatic amino acid) indicated for the treatment of motor fluctuations in adults with advanced Parkinson’s disease.
Fosinopril Sodium,openfda.generic_name=Fosinopril,openFDA label,2,Heart failure; Hypertension,"INDICATIONS AND USAGE Fosinopril sodium tablets are indicated for the treatment of hypertension. They may be used alone or in combination with thiazide diuretics. Fosinopril sodium tablets are indicated in the management of heart failure as adjunctive therapy when added to conventional therapy including diuretics with or without digitalis (see DOSAGE AND ADMINISTRATION ). In using fosinopril sodium, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vas"
Fosinopril Sodium; Hydrochlorothiazide,openfda.brand_name=FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,openFDA label,1,Hypertension,"INDICATIONS AND USAGE Fosinopril sodium and hydrochlorothiazide tablets are indicated for the treatment of hypertension. These fixed dose combinations are not indicated for initial therapy. (See DOSAGE AND ADMINISTRATION . ) In using fosinopril sodium and hydrochlorothiazide, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. Available data are insufficient to show that fosinopril does not have a similar risk (see WARNINGS: Neutropenia"
Fosphenytoin Sodium,openfda.generic_name=Fosphenytoin,openFDA label,1,Epilepsy / seizures,"Fosphenytoin sodium injection is indicated for the treatment of generalized tonic-clonic status epilepticus and prevention and treatment of seizures occurring during neurosurgery. Fosphenytoin sodium injection can also be substituted, short-term, for oral phenytoin. Fosphenytoin sodium injection should be used only when oral phenytoin administration is not possible . Fosphenytoin sodium injection is indicated for the treatment of generalized tonic-clonic status epilepticus and prevention and treatment of seizures occurring during neurosurgery. Fosphenytoin sodium injection can also be substitu"
Fostamatinib Disodium,openfda.brand_name=TAVALISSE,openFDA label,0,,TAVALISSE is indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment. TAVALISSE is a kinase inhibitor indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment.
Fruquintinib,openfda.generic_name=Fruquintinib,openFDA label,1,Colorectal cancer,"1. INDICATIONS AND USAGE FRUZAQLA is indicated for the treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with fluoropyrimidine‑, oxaliplatin‑, and irinotecan‑based chemotherapy, an anti‑VEGF therapy, and, if RAS wild‑type and medically appropriate, an anti-EGFR therapy. FRUZAQLA is a kinase inhibitor indicated for the treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with fluoropyrimidine‑, oxaliplatin‑, and irinotecan‑based chemotherapy, an anti‑VEGF therapy, and, if RAS wild‑type and medic"
Fulvestrant,openfda.generic_name=Fulvestrant,openFDA label,2,Breast cancer; Menopausal / hormone therapy,"Fulvestrant Injection is an estrogen receptor antagonist indicated for the treatment of: Hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced breast cancer in postmenopausal women not previously treated with endocrine therapy. HR-positive advanced breast cancer in postmenopausal women with disease progression following endocrine therapy. HR-positive, HER2-negative advanced or metastatic breast cancer in postmenopausal women in combination with ribociclib, as initial endocrine based therapy or following disease progression on endocrine therapy. HR-po"
